SAMPLE ID,,IGSN,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
1,,,,,Geochemistry of basement rocks from SE Kenya and NE Tanzania: indications for rifting and early Pan-African subduction,INT. J. EARTH SCI.,,Archean,,Metamorphic,Unknown,Unknown,Granulite,-3.00,37.70,,49.25,0.60,21.11,7.01,,,6.31,3.26,12.00,3.96,0.37,0.31,0.21,0.17,0.44,,,,97.03,47.96,,,20.40,,42.21,4.43,19.61,4.36,1.33,4.46,0.72,4.36,0.91,2.93,,3.12,0.49,0.59,,,,,,,20.00,,100.00,16.50,,44.00,,149.20,16.58,1200.00,,,,,,,,,1.18,,,,28.00,,,,,4.01,,14.10,,,3.45,,,3.32,0.23,1090.00,,10.31,,,,,,
66,,,,,Geochemistry of basement rocks from SE Kenya and NE Tanzania: indications for rifting and early Pan-African subduction,INT. J. EARTH SCI.,,Archean,,Metamorphic,Unknown,Unknown,Granulite,-3.00,37.70,,39.28,0.91,17.36,16.99,,,15.29,7.84,12.97,1.70,0.67,0.56,0.08,0.26,0.54,,,,96.28,47.76,,62.00,2.27,,5.75,0.81,4.79,1.93,0.83,2.97,0.58,4.06,0.92,2.86,,2.96,0.47,0.73,,,,,,,59.00,,434.00,59.60,57.80,47.00,11.00,33.30,13.01,700.00,,,,,,,,,0.08,,,,26.60,,,,,1.15,,,,,0.21,,,8.40,,893.00,,1.47,,,,,,
65,,,,,Geochemistry of basement rocks from SE Kenya and NE Tanzania: indications for rifting and early Pan-African subduction,INT. J. EARTH SCI.,,Archean,,Metamorphic,Unknown,Unknown,Granulite,-3.00,37.70,,38.11,4.18,13.75,17.58,,,15.82,8.20,12.52,1.93,0.86,0.71,0.70,0.28,0.34,,,,95.65,48.03,,445.00,51.10,,107.90,11.10,51.23,10.81,3.79,9.34,1.40,7.83,1.39,3.73,,3.14,0.40,1.24,,,,,,,34.00,,332.00,69.70,807.70,123.00,11.00,293.60,24.25,241.00,,,,,,,,,1.43,,,,38.80,,,,,7.70,,,,,5.52,,,5.34,,484.00,,53.18,,,,,,
G2B,,,,,"Mineralogical and geochemical study of a newly discovered mafic granulite, northwest China: Implications for tectonic evolution of the Altay Orogenic Belt",ISLAND ARC,,Archean?,,Metamorphic,Unknown,Unknown,Granulite,45.00,89.50,,47.83,4.35,13.98,,,16.03,16.03,5.15,9.42,3.37,0.74,0.61,0.71,0.24,,,,,101.11,36.42,,,28.00,,75.90,10.60,48.60,12.10,3.50,13.10,2.20,12.70,2.60,7.30,,6.30,1.00,,,,,,,,,,,,,,,290.60,,,,,,,,,,,,,,,73.50,,,,,,,,,,2.40,,,11.80,,383.40,,17.70,,,,,,
Szg3015,,,,,"Mineralogical and geochemical study of a newly discovered mafic granulite, northwest China: Implications for tectonic evolution of the Altay Orogenic Belt. ",ISLAND ARC,,Archean?,,Metamorphic,Unknown,Unknown,Granulite,46.90,89.75,,47.83,4.35,13.98,,,16.03,16.03,5.15,9.42,3.37,0.74,0.61,0.71,0.24,,,,,101.11,36.42,,,28.00,,75.90,10.60,48.60,12.10,3.50,13.10,2.20,12.70,2.60,7.30,,6.30,1.00,,,,,,,,,,,,,,,290.60,,,,,,,,,,,,,,,73.50,,,,,,,,,,2.40,,,11.80,,383.40,,17.70,,,,,,
G1G,,,,,"Mineralogical and geochemical study of a newly discovered mafic granulite, northwest China: Implications for tectonic evolution of the Altay Orogenic Belt",ISLAND ARC,,Archean?,,Metamorphic,Unknown,Unknown,Granulite,45.00,89.50,,51.02,1.37,16.45,,,10.95,10.95,7.44,9.66,2.46,0.41,0.34,0.09,0.16,,,,,99.92,54.78,,,8.10,,21.60,2.70,12.80,3.60,1.40,4.20,0.70,4.50,1.00,2.70,,2.50,0.40,,,,,,,,,,,,,,,73.30,,,,,,,,,,,,,,,25.90,,,,,,,,,,1.30,,,5.50,,265.80,,3.30,,,,,,
Sab3058,,,,,"Mineralogical and geochemical study of a newly discovered mafic granulite, northwest China: Implications for tectonic evolution of the Altay Orogenic Belt. ",ISLAND ARC,,Archean?,,Metamorphic,Unknown,Unknown,Granulite,46.90,89.75,,51.02,1.37,16.45,,,10.95,10.95,7.44,9.66,2.46,0.41,0.34,0.09,0.16,,,,,99.92,54.78,,,8.10,,21.60,2.70,12.80,3.60,1.40,4.20,0.70,4.50,1.00,2.70,,2.50,0.40,,,,,,,,,,,,,,,73.30,,,,,,,,,,,,,,,25.90,,,,,,,,,,1.30,,,5.50,,265.80,,3.30,,,,,,
G1F,,,,,"Mineralogical and geochemical study of a newly discovered mafic granulite, northwest China: Implications for tectonic evolution of the Altay Orogenic Belt",ISLAND ARC,,Archean?,,Metamorphic,Unknown,Unknown,Granulite,45.00,89.50,,52.59,0.96,18.71,,,8.54,8.54,5.87,8.96,3.40,0.67,0.56,0.14,0.15,,,,,99.85,55.07,,,12.00,,26.60,3.40,14.00,3.30,1.30,3.50,0.60,3.20,0.70,2.00,,1.80,0.30,,,,,,,,,,,,,,,96.50,,,,,,,,,,,,,,,18.80,,,,,,,,,,2.00,,,19.20,,596.40,,4.00,,,,,,
Sab3054,,,,,"Mineralogical and geochemical study of a newly discovered mafic granulite, northwest China: Implications for tectonic evolution of the Altay Orogenic Belt. ",ISLAND ARC,,Archean?,,Metamorphic,Unknown,Unknown,Granulite,46.90,89.75,,52.59,0.96,18.71,,,8.54,8.54,5.87,8.96,3.40,0.67,0.56,0.14,0.15,,,,,99.85,55.07,,,12.00,,26.60,3.40,14.00,3.30,1.30,3.50,0.60,3.20,0.70,2.00,,1.80,0.30,,,,,,,,,,,,,,,96.50,,,,,,,,,,,,,,,18.80,,,,,,,,,,2.00,,,19.20,,596.40,,4.00,,,,,,
B8,,,,,"Mineralogical and geochemical study of a newly discovered mafic granulite, northwest China: Implications for tectonic evolution of the Altay Orogenic Belt",ISLAND ARC,,Archean?,,Metamorphic,Unknown,Unknown,Granulite,45.00,89.50,,50.69,1.68,17.04,,,11.57,11.57,6.86,8.04,2.99,0.71,0.59,0.15,0.18,,,,,99.76,51.39,,,12.10,,27.20,3.40,14.40,3.40,1.30,3.70,0.60,3.50,0.70,2.10,,2.00,0.30,,,,,,,,,,,,,,,109.90,,,,,,,,,,,,,,,20.40,,,,,,,,,,2.10,,,19.40,,502.40,,5.50,,,,,,
