Reference,Comment,Locality,Sample,Lithology,Age Minimum,Age Maximum,Age Precise,Age,SiO2,TiO2,CaO,Al2O3,MnO,Fe2O3,FeO,FeO.tot,MgO,Na2O,K2O,P2O5,H20 ,CO2,S,F,C,Corg,LOI,Cu,Pb,Hf,Zr,Nb,Ta,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,Ni,Co,Cr,Sc,Zn,V,Ga,Rb,Sr,Cs,Ba,U,Cl,Mo,As,Sn,W,Li,Be,Bi,B,Sb,Au (ng/g),Cd,Tl,Ag,Re,Ge,In,Te
,,Canning Basin,PL-6,Shale,,,328.9,328.9,61.08,0.68,4.73,15.67,0.05,4.93,x,4.44,1.86,0.43,3.47,0.1,x,x,x,x,x,x,7.31,33,24.1,5.91,204,16.9,1.54,33.4,46.9,89.2,10.5,38.7,7.16,1.18,6.01,1.01,5.59,1.15,3.17,0.54,3.34,0.53,19.8,22.7,13,53,13.2,69.4,75.1,19.8,186,258,11,323,3.68,x,0.27,3.43,4.22,2.65,56.4,2.81,0.53,91.3,0.51,x,0.063,1.01,x,x,1.87,0.077,0.033
,,The South Qinling Belt,D104,Pelite,,,328.9,328.9,59.79,0.91,0.36,20.8,0.01,6.71,x,6.04,0.95,0.93,3.05,0.15,x,x,x,x,x,x,5.82,36,24.9,4.54,153,14.8,1.2,30.3,44,78.7,9.96,37.1,6.81,1.23,5.61,0.91,5.55,1.14,3.17,0.5,3.25,0.5,15.9,58.4,9.28,193,19.8,85.8,262,23.8,162,321,8.57,435,2.53,x,0.66,23.5,3.71,3.28,93,2.98,0.62,149,1.64,x,0.052,0.84,x,x,2.41,0.09,0.15
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Machareti Grp,Machareti 4,Diamictite,,,312.5,312.5,67.2,0.82,0.37,15.89,0.06,4.78,x,4.3,1.5,0.85,3.23,0.15,x,x,x,x,x,x,5.15,x,x,x,x,x,x,31.6,36.8,74.4,9.44,36.3,7.06,1.37,6.16,x,x,x,x,0.45,2.88,0.41,x,25.8,11.8,71.3,14.3,x,92.6,x,x,122,x,x,x,x,0.69,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Machareti Grp,Machareti 6,Diamictite,,,312.5,312.5,65.07,0.71,0.49,16.23,0.05,5.49,x,4.94,1.95,1.13,3.6,0.17,x,x,x,x,x,x,5.11,x,x,x,x,x,x,36.1,43.4,89.4,11,42.1,8.2,1.56,7.07,x,x,x,x,0.53,3.43,0.5,x,30.5,14.2,74.5,14.1,x,97.7,x,x,175,x,x,x,x,0.42,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Machareti Grp,Machareti 9,Diamictite,,,312.5,312.5,78.36,0.51,0.48,9.66,0.05,3.36,x,3.02,1.35,1.6,2.37,0.1,x,x,x,x,x,x,2.17,x,x,x,x,x,x,26.4,29.3,59.8,7.34,27.9,5.37,1.04,4.57,x,x,x,x,0.4,2.67,0.39,x,15.8,8.36,34.8,6.28,x,43.5,x,x,121,x,x,x,x,0.27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Mandiyuti Grp,BP-080507-6,Diamictite,,,312.5,312.5,77.2,0.6,0.21,11.04,0.03,2.85,x,2.56,1.46,1.02,2.7,0.12,x,x,x,x,x,x,2.77,x,x,x,x,x,x,31.9,37.1,75.7,9.1,34.1,6.62,1.26,5.55,x,x,x,x,0.47,3.07,0.45,x,17,9.06,50.7,9.25,x,57,x,x,86.6,x,x,x,x,0.37,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Mandiyuti Grp,BP-080507-8,Diamictite,,,312.5,312.5,77.93,0.55,0.2,10.06,0.03,3.37,x,3.03,1.65,0.73,2.77,0.1,x,x,x,x,x,0.12,2.62,x,x,x,x,x,x,29,30,62.4,7.53,28.9,5.69,1.11,5.14,x,x,x,x,0.42,2.76,0.4,x,14.6,7.43,37.5,7.11,x,48.2,x,x,69.5,x,x,x,x,0.29,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Mandiyuti Grp,BP-080407-9,Diamictite,,,312.5,312.5,78.15,0.6,0.78,9.52,0.08,2.72,x,2.45,1.63,1.24,2.25,0.12,x,x,x,x,x,x,2.92,x,x,x,x,x,x,28.4,31.1,64,7.7,28.8,5.72,1.02,4.85,x,x,x,x,0.42,2.75,0.4,x,13.7,7.77,39.4,6.59,x,44.5,x,x,66.4,x,x,x,x,0.37,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Controls on the Major and Trace Element Variation of Shales, Siltstones, and Sandstones of Pennsylvanian-Permian Age from Uplifted Continental Blocks in Colorado to Platform Sediment in Kansas, USA.” Geochimica et Cosmochimica Acta 58, no. 22 (November 1, 1994): 4955–72. https://doi.org/10.1016/0016-7037(94)90224-0.
",,"Eastern Colorado platform, Colorado, USA",C687,Black shale,307,323.2,,307,53.6,0.73,3.63,19,0.055,5.65,x,5.08,1.79,0.51,2.33,x,x,x,x,x,x,x,11.54,x,x,3.3,137,18,1.4,32,41,76.2,x,x,6.5,1.03,x,0.65,x,x,x,x,2.6,0.44,14.7,82,14.3,250,16.3,x,x,x,158,108,10.5,256,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Controls on the Major and Trace Element Variation of Shales, Siltstones, and Sandstones of Pennsylvanian-Permian Age from Uplifted Continental Blocks in Colorado to Platform Sediment in Kansas, USA.” Geochimica et Cosmochimica Acta 58, no. 22 (November 1, 1994): 4955–72. https://doi.org/10.1016/0016-7037(94)90224-0.
",,"Eastern Colorado platform, Colorado, USA",MM1B,Black shale,307,323.2,,307,57,0.83,0.41,19.5,0.062,5.18,x,4.66,1.58,0.6,2.82,x,x,x,x,x,x,x,9.08,x,x,5.7,200,17,1.7,42,51.6,94.2,x,x,8.48,1.53,x,0.91,x,x,x,x,3.43,0.56,18.3,62,19.5,141,17.9,x,x,x,143,82,10.3,267,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Geochemistry of Shales, Siltstones and Sandstones of Pennsylvanian–Permian Age, Colorado, USA: Implications for Provenance and Metamorphic Studies.” Lithos 51, no. 3 (March 2, 2000): 181–203. https://doi.org/10.1016/S0024-4937(99)00063-8.
",,"Belden Formation, Colorado, USA",BS-2B,Shale,305,322,,305,48.8,1,1,19.5,0.02,10.32,x,9.29,1,0.47,3.04,x,x,x,x,x,x,x,9.83,x,x,2.8,x,x,x,x,104,233,x,x,22.6,2.42,x,2.28,x,x,x,x,7.13,0.98,30,x,28.6,76,23.6,x,x,x,100,104,10.6,281,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Geochemistry of Shales, Siltstones and Sandstones of Pennsylvanian–Permian Age, Colorado, USA: Implications for Provenance and Metamorphic Studies.” Lithos 51, no. 3 (March 2, 2000): 181–203. https://doi.org/10.1016/S0024-4937(99)00063-8.
",,"Belden Formation, Colorado, USA",BS-2A,Shale,305,322,,305,55.2,0.86,1.92,19.3,0.032,6.73,x,6.06,1.92,0.51,4.28,x,x,x,x,x,x,x,6.95,x,x,1.3,x,x,x,x,86.3,176,x,x,19.7,2.85,x,1.97,x,x,x,x,4.57,0.75,23.5,x,15.2,86,19.9,x,x,x,170,121,7,296,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Geochemistry of Shales, Siltstones and Sandstones of Pennsylvanian–Permian Age, Colorado, USA: Implications for Provenance and Metamorphic Studies.” Lithos 51, no. 3 (March 2, 2000): 181–203. https://doi.org/10.1016/S0024-4937(99)00063-8.
",,"Belden Formation, Colorado, USA",BS-1A,Shale,305,322,,305,58.6,1.07,2.07,17.6,0.013,4.53,x,4.08,2.07,0.52,2.56,x,x,x,x,x,x,x,10.61,x,x,6.6,x,x,2.7,x,71.7,149,x,x,11.2,1.47,x,1.23,x,x,x,x,5.12,0.75,22.9,x,8.6,143,18.4,x,x,x,104,107,3.9,286,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Geochemistry of Shales, Siltstones and Sandstones of Pennsylvanian–Permian Age, Colorado, USA: Implications for Provenance and Metamorphic Studies.” Lithos 51, no. 3 (March 2, 2000): 181–203. https://doi.org/10.1016/S0024-4937(99)00063-8.
",,"Belden Formation, Colorado, USA",BS-3A,Shale,305,322,,305,46.9,1.13,5.02,21.7,0.029,5.72,x,5.15,5.02,0.81,3.93,x,x,x,x,x,x,x,11.47,x,x,3,x,x,x,x,97.1,161,x,x,15.2,1.48,x,1.17,x,x,x,x,4.58,0.71,23.1,x,6.6,126,25.5,x,x,x,180,365,6.1,391,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Geochemistry of Shales, Siltstones and Sandstones of Pennsylvanian–Permian Age, Colorado, USA: Implications for Provenance and Metamorphic Studies.” Lithos 51, no. 3 (March 2, 2000): 181–203. https://doi.org/10.1016/S0024-4937(99)00063-8.
",,"Belden Formation, Colorado, USA",BS-10A,Shale,305,322,,305,65.1,0.49,4,10.3,0.024,2.78,x,2.5,4,0.74,3.62,x,x,x,x,x,x,x,7.97,x,x,8.5,x,x,0.94,x,34.3,62.2,x,x,5.54,0.87,x,0.54,x,x,x,x,2.2,0.33,8.3,x,4.5,60,8.8,x,x,x,118,69,7.7,319,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Geochemistry of Shales, Siltstones and Sandstones of Pennsylvanian–Permian Age, Colorado, USA: Implications for Provenance and Metamorphic Studies.” Lithos 51, no. 3 (March 2, 2000): 181–203. https://doi.org/10.1016/S0024-4937(99)00063-8.
",,"Belden Formation, Colorado, USA",BS-15,Shale,305,322,,305,24.9,0.41,19.22,9.5,0.063,2.8,x,2.52,19.22,0.27,0.74,x,x,x,x,x,x,x,29.51,x,x,2.3,x,x,0.89,x,23,44.2,x,x,3.65,0.61,x,0.41,x,x,x,x,1.8,0.27,9.3,x,7.3,47,10.2,x,x,x,43,155,8,78,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Geochemistry of Shales, Siltstones and Sandstones of Pennsylvanian–Permian Age, Colorado, USA: Implications for Provenance and Metamorphic Studies.” Lithos 51, no. 3 (March 2, 2000): 181–203. https://doi.org/10.1016/S0024-4937(99)00063-8.
",,"Belden Formation, Colorado, USA",BS-16B,Shale,305,322,,305,31.6,0.59,13.9,13.1,0.086,4.69,x,4.22,13.9,0.31,3.63,x,x,x,x,x,x,x,22.49,x,x,3.2,x,x,1.9,x,30.7,59,x,x,4.84,0.8,x,0.52,x,x,x,x,2.3,0.34,19,x,12,94,11.9,x,x,x,139,101,11.9,391,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Dwyka Grp: west,GKP01-109,Diamictite,,,300,300,40.97,0.47,10.25,9.86,0.62,7.33,x,6.6,9.42,1.13,1.81,0.32,x,x,x,x,x,x,17.82,x,x,x,x,x,x,25.3,35.6,76.9,9.95,36.6,7.3,1.73,6.1,x,x,x,x,0.31,1.88,0.29,x,104,28.3,289,13.2,x,290,x,x,107,x,x,x,x,0.61,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Dwyka Grp: west,GKP01-122,Diamictite,,,300,300,53.57,0.67,3.52,12.43,0.32,9.84,x,8.85,6.85,1.58,2.32,0.13,x,x,x,x,x,0.31,8.78,x,x,x,x,x,x,19.8,23.5,48.9,5.25,20.1,3.94,0.88,3.28,x,x,x,x,0.35,2.18,0.34,x,122,34,224,18,x,141,x,x,107,x,x,x,x,0.27,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Dwyka Grp: west,GKP01-130,Diamictite,,,300,300,27.92,0.22,18.89,4.52,0.86,4.65,x,4.18,12.3,0.49,0.91,0.06,x,x,x,x,x,0.13,29.19,x,x,x,x,x,x,8.08,9.52,18.7,2.16,8.36,1.64,0.41,1.48,x,x,x,x,0.13,0.79,0.12,x,36.6,9.87,126,4.55,x,48.4,x,x,55.4,x,x,x,x,0.19,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Dwyka Grp: west,GKP01-140,Diamictite,,,300,300,38.05,0.34,17.66,6.43,1.32,10.18,x,9.16,4.97,0.65,1.15,0.14,x,x,x,x,x,0.1,19.11,x,x,x,x,x,x,17.7,19.9,33.8,3.62,14.4,2.8,0.73,2.9,x,x,x,x,0.23,1.37,0.21,x,42.2,19.2,73.4,11.1,x,91,x,x,92.9,x,x,x,x,0.51,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Dwyka Grp: west,GKP01-169,Diamictite,,,300,300,45.15,0.47,9.74,7.17,0.76,15.85,x,14.26,5.82,0.31,1.1,0.09,x,x,x,x,x,0.12,13.52,x,x,x,x,x,x,13.5,13.1,26.4,3.11,11.7,2.42,0.62,2.14,x,x,x,x,0.19,1.21,0.19,x,43.6,13.1,121,11.5,x,98.7,x,x,108,x,x,x,x,0.48,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Dwyka Grp: east,13RMG012,Diamictite,,,300,300,63.95,0.7,1.69,14.97,0.09,6.05,x,5.44,2.7,3.06,3.27,0.2,x,x,x,x,x,0.22,3.33,x,x,x,x,x,x,33.7,54.7,100,12.8,46.9,8.89,1.53,6.86,x,x,x,x,0.48,2.99,0.43,x,44.9,16,116,14.1,x,96.4,x,x,199,x,x,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Dwyka Grp: east,13RMG015,Diamictite,,,300,300,69.39,0.56,1.22,12.61,0.09,5.53,x,4.98,2.46,3.15,2.41,0.13,x,x,x,x,x,x,2.45,x,x,x,x,x,x,26,32.2,62,7.99,29.3,5.78,1.2,4.71,x,x,x,x,0.4,2.52,0.37,x,44.6,13.2,132,10.5,x,77.6,x,x,153,x,x,x,x,0.36,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Dwyka Grp: east,13RMG016,Diamictite,,,300,300,65.83,0.69,2.07,14.62,0.09,5.5,x,4.95,2.15,3.07,3.26,0.2,x,x,x,x,x,x,2.52,x,x,x,x,x,x,37.1,50,105,12.9,47.7,9.4,1.61,7.34,x,x,x,x,0.54,3.35,0.5,x,22.6,11.7,61.4,11.9,x,78.9,x,x,219,x,x,x,x,0.52,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Dwyka Grp: east,13RMG018,Diamictite,,,300,300,64.74,0.72,1.93,15.13,0.09,5.9,x,5.31,2.33,2.95,3.44,0.21,x,x,x,x,x,0.24,2.55,x,x,x,x,x,x,37.7,53.9,113,13.5,49.9,9.75,1.64,7.61,x,x,x,x,0.56,3.52,0.52,x,27.7,14.3,71.1,13.6,x,84.9,x,x,233,x,x,x,x,0.83,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Gaschnig et al., 2014, EPSL, vol 408,  pp 87-99",,Dwyka Grp: east,13RMG019,Diamictite,,,300,300,68.81,0.64,1.26,13.52,0.1,4.77,x,4.29,1.95,3.57,2.77,0.18,x,x,x,x,x,x,2.44,x,x,x,x,x,x,36,43,91.4,10.9,41.4,8.39,1.47,6.75,x,x,x,x,0.54,3.37,0.5,x,24.4,11.5,67.6,12.1,x,80,x,x,128,x,x,x,x,0.33,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Controls on the Major and Trace Element Variation of Shales, Siltstones, and Sandstones of Pennsylvanian-Permian Age from Uplifted Continental Blocks in Colorado to Platform Sediment in Kansas, USA.” Geochimica et Cosmochimica Acta 58, no. 22 (November 1, 1994): 4955–72. https://doi.org/10.1016/0016-7037(94)90224-0.
","Study includes other non-shale samples, which have been excluded from this compilation.","Hermosa Grp., Colorado, USA",HRM 33,Shale,290,315,,290,46.9,0.84,6.28,16.7,0.07,7.79,x,7.01,4.36,0.51,4.62,x,x,x,x,x,x,x,10.79,x,x,5.6,162,19.5,2.8,82,145,295,x,x,24.4,3.22,x,2.32,x,x,x,x,7.39,1.14,33.8,47,22,86,20.3,x,x,x,164,88,32.4,351,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Controls on the Major and Trace Element Variation of Shales, Siltstones, and Sandstones of Pennsylvanian-Permian Age from Uplifted Continental Blocks in Colorado to Platform Sediment in Kansas, USA.” Geochimica et Cosmochimica Acta 58, no. 22 (November 1, 1994): 4955–72. https://doi.org/10.1016/0016-7037(94)90224-0.
",Shale sample GOH has been excluded as sum of major elements is approx. 80%,"Hermosa Grp., Colorado, USA",HRM SC,Shale,290,315,,290,47.9,0.68,5.46,16.6,0.074,6.49,x,5.84,4.99,0.6,4.88,x,x,x,x,x,x,x,11.55,x,x,4.7,75,22,2.4,75,89.9,183,x,x,17.3,2.47,x,1.93,x,x,x,x,5.91,0.9,23.6,190,15.5,80,16.8,x,x,x,168,102,42,320,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Controls on the Major and Trace Element Variation of Shales, Siltstones, and Sandstones of Pennsylvanian-Permian Age from Uplifted Continental Blocks in Colorado to Platform Sediment in Kansas, USA.” Geochimica et Cosmochimica Acta 58, no. 22 (November 1, 1994): 4955–72. https://doi.org/10.1016/0016-7037(94)90224-0.
",,"Eastern Colorado platform, Colorado, USA",MPP-1,Black shale,283.5,298.9,,283.5,57,1.02,0.5,21.2,0.016,4.95,x,4.45,1.68,0.53,4.52,x,x,x,x,x,x,x,9.3,x,x,4.8,210,18,1.4,42,51.2,97.7,x,x,8.44,1.61,x,0.95,x,x,x,x,3.3,0.54,16.2,77,22.4,147,19,x,x,x,176,106,17.6,261,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Controls on the Major and Trace Element Variation of Shales, Siltstones, and Sandstones of Pennsylvanian-Permian Age from Uplifted Continental Blocks in Colorado to Platform Sediment in Kansas, USA.” Geochimica et Cosmochimica Acta 58, no. 22 (November 1, 1994): 4955–72. https://doi.org/10.1016/0016-7037(94)90224-0.
",,"Kansas Platform, Kansas, USA",SW-1,Grey shale,283.5,298.9,,283.5,49.9,0.69,0.66,17.5,0.036,6,x,5.4,9.19,1.63,4.57,x,x,x,x,x,x,x,9.67,x,x,4.5,170,27,1.6,32,30.9,53.4,x,x,5.49,1.14,x,0.66,x,x,x,x,2.6,0.42,14.1,67,14.4,100,16,x,x,x,170,42,8,320,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Controls on the Major and Trace Element Variation of Shales, Siltstones, and Sandstones of Pennsylvanian-Permian Age from Uplifted Continental Blocks in Colorado to Platform Sediment in Kansas, USA.” Geochimica et Cosmochimica Acta 58, no. 22 (November 1, 1994): 4955–72. https://doi.org/10.1016/0016-7037(94)90224-0.
",,"Kansas Platform, Kansas, USA",NI-26,Grey shale,283.5,298.9,,283.5,66.2,0.6,0.53,11.2,0.013,2.59,x,2.33,7.81,1.72,2.19,x,x,x,x,x,x,x,6.66,x,x,2.9,140,18,1,10,14.5,26.9,x,x,2.74,0.49,x,0.31,x,x,x,x,1.52,0.26,8.6,8,12.5,76,8.7,x,x,x,91,95,4.3,207,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Controls on the Major and Trace Element Variation of Shales, Siltstones, and Sandstones of Pennsylvanian-Permian Age from Uplifted Continental Blocks in Colorado to Platform Sediment in Kansas, USA.” Geochimica et Cosmochimica Acta 58, no. 22 (November 1, 1994): 4955–72. https://doi.org/10.1016/0016-7037(94)90224-0.
",,"Kansas Platform, Kansas, USA",NNB14,Grey shale,283.5,298.9,,283.5,59.7,0.74,1.36,12.4,0.041,4.52,x,4.07,4.36,2.24,3.16,x,x,x,x,x,x,x,11.62,x,x,5.1,195,20,1.3,23,18,37.2,x,x,3.91,0.66,x,0.44,x,x,x,x,2.45,0.39,12.5,45,14.5,95,11.3,x,x,x,124,109,6.5,293,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Controls on the Major and Trace Element Variation of Shales, Siltstones, and Sandstones of Pennsylvanian-Permian Age from Uplifted Continental Blocks in Colorado to Platform Sediment in Kansas, USA.” Geochimica et Cosmochimica Acta 58, no. 22 (November 1, 1994): 4955–72. https://doi.org/10.1016/0016-7037(94)90224-0.
",,"Kansas Platform, Kansas, USA",NNT-1,Grey shale,283.5,298.9,,283.5,35.3,0.45,14.67,7.6,0.042,3.79,x,3.41,11.03,0.93,2.14,x,x,x,x,x,x,x,23.74,x,x,2.3,89,10,0.8,14,17,39.6,x,x,3.47,0.53,x,0.4,x,x,x,x,1.45,0.24,8.1,27,9.5,66,8.1,x,x,x,83,92,4.5,122,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Controls on the Major and Trace Element Variation of Shales, Siltstones, and Sandstones of Pennsylvanian-Permian Age from Uplifted Continental Blocks in Colorado to Platform Sediment in Kansas, USA.” Geochimica et Cosmochimica Acta 58, no. 22 (November 1, 1994): 4955–72. https://doi.org/10.1016/0016-7037(94)90224-0.
",,"Kansas Platform, Kansas, USA",TOM-3,Grey shale,283.5,298.9,,283.5,64.7,1.04,0.33,16.3,0.053,5.05,x,4.54,1.85,1.47,3.11,x,x,x,x,x,x,x,6.83,x,x,8.2,308,16,1.8,42,49,95.6,x,x,9.17,1.66,x,1.55,x,x,x,x,3.94,0.61,16.6,41,15.5,100,16.4,x,x,x,133,198,6.7,391,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Controls on the Major and Trace Element Variation of Shales, Siltstones, and Sandstones of Pennsylvanian-Permian Age from Uplifted Continental Blocks in Colorado to Platform Sediment in Kansas, USA.” Geochimica et Cosmochimica Acta 58, no. 22 (November 1, 1994): 4955–72. https://doi.org/10.1016/0016-7037(94)90224-0.
",,"Kansas Platform, Kansas, USA",NN1,Grey shale,283.5,298.9,,283.5,44,0.44,10.37,9,0.043,2.44,x,2.2,9.37,0.86,2.14,x,x,x,x,x,x,x,20.42,x,x,3.3,80,11,1.3,18,16.6,39.1,x,x,3.11,0.6,x,0.46,x,x,x,x,1.54,0.24,9,103,9.5,83,8.5,x,x,x,84,50,5.2,180,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,,Canning Basin,PL-1,Shale,,,275.535,275.535,63.57,0.73,0.37,18.76,0.04,5.81,x,5.23,1.53,0.17,4.09,0.08,x,x,x,x,x,x,4.34,21,31.6,6.79,238,19.7,1.58,37.7,44.7,93.1,10.5,38.3,7.62,1.37,6.67,1.09,6.65,1.41,4.08,0.63,4.3,0.65,23.5,28.7,13.6,70.1,15.8,105,160,24.3,168,62.5,11.3,554,3.38,x,1.47,29.4,5.06,3.32,103,4.46,0.7,71.1,0.48,x,0.12,0.94,x,x,1.85,0.097,0.056
"Cullers, Robert L. “The Geochemistry of Shales, Siltstones and Sandstones of Pennsylvanian–Permian Age, Colorado, USA: Implications for Provenance and Metamorphic Studies.” Lithos 51, no. 3 (March 2, 2000): 181–203. https://doi.org/10.1016/S0024-4937(99)00063-8.
","Study includes other non-shale samples, which have been excluded from this compilation.","Sangre de Cristo Formation, Colorado, USA",SDC-1,Shale,270,307,,270,45.4,0.77,11.45,13.1,0.15,5.64,x,5.07,11.45,1.06,3.47,x,x,x,x,x,x,x,13.76,x,x,3.8,x,x,1.9,x,68.8,121,x,x,12.1,1.72,x,1.36,x,x,x,x,4.37,0.79,15.3,x,13.7,65,14.2,x,x,x,127,494,4.6,459,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Geochemistry of Shales, Siltstones and Sandstones of Pennsylvanian–Permian Age, Colorado, USA: Implications for Provenance and Metamorphic Studies.” Lithos 51, no. 3 (March 2, 2000): 181–203. https://doi.org/10.1016/S0024-4937(99)00063-8.
",,"Sangre de Cristo Formation, Colorado, USA",SDC-2,Shale,270,307,,270,50.6,0.72,6.72,14.6,0.12,5.61,x,5.05,6.72,1.16,4.9,x,x,x,x,x,x,x,10.52,x,x,3.2,x,x,2.5,x,139,249,x,x,18.5,2.31,x,1.49,x,x,x,x,4.52,0.7,19.2,x,12.7,61,18.2,x,x,x,139,252,4.1,438,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Geochemistry of Shales, Siltstones and Sandstones of Pennsylvanian–Permian Age, Colorado, USA: Implications for Provenance and Metamorphic Studies.” Lithos 51, no. 3 (March 2, 2000): 181–203. https://doi.org/10.1016/S0024-4937(99)00063-8.
",,"Sangre de Cristo Formation, Colorado, USA",SDC-9,Shale,270,307,,270,55.1,0.9,5.96,14.4,0.1,5.59,x,5.03,5.96,2.37,4.79,x,x,x,x,x,x,x,7.45,x,x,9.9,x,x,4.3,x,113,209,x,x,17.4,2.67,x,2.06,x,x,x,x,7,1.02,23.8,x,9.6,49,14.9,x,x,x,128,166,2,675,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Geochemistry of Shales, Siltstones and Sandstones of Pennsylvanian–Permian Age, Colorado, USA: Implications for Provenance and Metamorphic Studies.” Lithos 51, no. 3 (March 2, 2000): 181–203. https://doi.org/10.1016/S0024-4937(99)00063-8.
",,"Sangre de Cristo Formation, Colorado, USA",SDC-20,Shale,270,307,,270,50.1,0.78,9.16,12.1,0.096,4.56,x,4.1,9.16,1.06,3.96,x,x,x,x,x,x,x,12.46,x,x,5.7,x,x,2.7,x,73.6,149,x,x,11.1,1.81,x,1.35,x,x,x,x,4.1,0.78,18.8,x,12.7,69,14.2,x,x,x,123,174,3.9,534,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Cullers, Robert L. “The Geochemistry of Shales, Siltstones and Sandstones of Pennsylvanian–Permian Age, Colorado, USA: Implications for Provenance and Metamorphic Studies.” Lithos 51, no. 3 (March 2, 2000): 181–203. https://doi.org/10.1016/S0024-4937(99)00063-8.
",,"Maroon Formation, Colorado, USA",M92B,Shale,270,305,,270,61.3,0.78,4.58,13.7,0.065,4.82,x,4.34,4.58,1.83,3.71,x,x,x,x,x,x,x,6.62,x,x,6.7,x,x,1.2,x,31,70,x,x,6.41,1.28,x,0.87,x,x,x,x,2.87,0.41,10.7,x,14.8,70,12.6,x,x,x,117,127,6.5,421,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
