Reference,Comment,Locality,Sample,Lithology,Age Minimum,Age Maximum,Age Precise,Age,SiO2,TiO2,CaO,Al2O3,MnO,Fe2O3,FeO,FeO.tot,MgO,Na2O,K2O,P2O5,H20 ,CO2,S,F,C,Corg,LOI,Cu,Pb,Hf,Zr,Nb,Ta,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,Ni,Co,Cr,Sc,Zn,V,Ga,Rb,Sr,Cs,Ba,U,Cl,Mo,As,Sn,W,Li,Be,Bi,B,Sb,Au (ng/g),Cd,Tl,Ag,Re,Ge,In,Te
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Beatty Formation, Abitibi Greenstone Belt",813-31,Fine-grained clastic sediments,2680,2747,,2680,56.5,0.76,0.37,19.3,0.05,8.38,x,7.54,3.77,3.49,2.54,0.19,x,x,x,x,x,x,3.93,13,10,x,130,x,x,29,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,44,7,201,x,109,127,x,90,148,x,770,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Beatty Formation, Abitibi Greenstone Belt",813-32,Fine-grained clastic sediments,2680,2747,,2680,67.6,0.53,0.7,14.4,0.07,5.73,x,5.16,2.59,3.5,1.62,0.11,x,x,x,x,x,x,2.85,31,10,2.8,95,12,0.6,11,28,60,x,26,4.3,1.13,x,0.5,x,x,x,x,1.1,0.18,4.6,52,22,122,12,100,74,x,71,223,1.5,470,1.2,x,x,24,x,x,x,x,x,x,0.4,7,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Beatty Formation, Abitibi Greenstone Belt",813-33,Fine-grained clastic sediments,2680,2747,,2680,51.4,1.05,0.27,24.9,0.04,7.22,x,6.5,3.36,1.82,5.24,0.2,x,x,x,x,x,x,4.16,61,6,4.3,153,12,0.5,25,47,100,x,46,7.5,2,x,0.9,x,x,x,x,2.44,0.3,9,103,29,233,31,138,193,x,184,153,3.7,1100,2.4,x,x,49,x,x,x,x,x,x,0.7,13,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Dome Formation, Abitibi Greenstone Belt",813-13,Fine-grained clastic sediments,2680,2747,,2680,49.1,1.08,0.87,25,0.09,8.29,x,7.46,4.09,1.35,5.17,0.2,x,x,x,x,x,x,4.77,x,x,4.2,143,12,0.4,28,42,92,x,43,8,2.52,x,0.9,x,x,x,x,2.38,0.36,8.9,x,x,275,30,x,x,x,171,238,5.7,1160,2.8,x,x,37,x,x,x,x,x,x,0.6,9,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Dome Formation, Abitibi Greenstone Belt",813-14,Fine-grained clastic sediments,2680,2747,,2680,55.9,0.86,0.87,21.7,0.07,6.82,x,6.14,3.26,2.74,3.72,0.2,x,x,x,x,x,x,3.62,47,10,x,138,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,61,21,160,x,92,119,x,127,206,x,690,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Dome Formation, Abitibi Greenstone Belt",813-15,Fine-grained clastic sediments,2680,2747,,2680,69.1,0.57,0.58,15,0.06,4.93,x,4.44,2.41,2.38,2.3,0.12,x,x,x,x,x,x,2.54,27,20,3,97,14,0.3,16,11,27,x,13,3.2,1.06,x,0.5,x,x,x,x,1.1,0.16,5.1,29,14,136,2,74,79,x,85,208,2.7,530,1.6,x,x,17,x,x,x,x,x,x,0.6,9,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Dome Formation, Abitibi Greenstone Belt",813-17,Fine-grained clastic sediments,2680,2747,,2680,67.6,0.64,0.55,15.3,0.06,5.2,x,4.68,2.52,2.7,2.25,0.14,x,x,x,x,x,x,2.93,53,8,3.3,104,14,0.4,12,13,29,x,15,3.4,1.03,x,0.4,x,x,x,x,1.16,0.19,5.6,32,18,143,14,81,88,x,81,218,2.8,500,1.6,x,x,20,x,x,x,x,x,x,0.4,4,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Dome Formation, Abitibi Greenstone Belt",813-19,Fine-grained clastic sediments,2680,2747,,2680,55.8,0.48,4.12,13.5,0.12,8.17,x,7.35,8.12,2.06,0.51,0.12,x,x,x,x,x,x,7.23,29,2,2.4,69,x,x,13,23,51,x,22,4.1,1.17,x,0.5,x,x,x,x,1.39,0.2,4.2,369,33,743,19,105,115,x,34,92,0.8,170,1.2,x,x,52,x,x,x,x,x,x,0.2,5,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Dome Formation, Abitibi Greenstone Belt",813-20,Fine-grained clastic sediments,2680,2747,,2680,54,0.58,0.33,14.7,0.1,10,x,9,11.5,1.56,0.05,0.16,x,x,x,x,x,x,6.08,35,2,2.8,102,x,0.3,10,24,51,x,22,3.9,1.13,x,0.4,x,x,x,x,1.37,0.22,5,397,22,984,23,110,132,x,x,71,x,110,1.4,x,x,17,x,x,x,x,x,x,x,5,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Dome Formation, Abitibi Greenstone Belt",813-21,Fine-grained clastic sediments,2680,2747,,2680,58.7,0.65,0.33,17.3,0.09,6.99,x,6.29,6.04,6.01,0.06,0.15,x,x,x,x,x,x,3.47,26,2,x,114,20,x,24,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,65,18,323,x,92,106,x,17,181,x,30,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
