SAMPLE ID,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
298R,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,39.88,0.8,22.13,,,,16.22,13.35,6.9,0.11,,0,,0.43,,,,,99.82,59.47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.03,0.6,23.04,,,,11.86,17.9,4.89,0.09,,0,,0.35,,,,,99.76,72.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076G,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.09,0.62,21.16,,,,17.69,12.76,6.93,0.1,,0,,0.37,,,,,99.72,56.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362Q,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.92,0.49,23.49,,,,8.63,20.68,4.1,0.06,,0,,0.32,,,,,99.69,81.03,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.23,0.69,22.26,,,,15.34,15.12,5.54,0.11,,0,,0.39,,,,,99.68,63.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362Q,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,56.92,0.1,0.43,,,,7.17,34.35,0.49,0.05,0.01,0.0083,,0.16,,,,,99.68,89.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.88,0.6,22.96,,,,12.09,17.71,5,0.09,,0,,0.31,,,,,99.64,72.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.74,0.61,23.1,,,,11.96,17.88,4.95,0.08,,0,,0.31,,,,,99.63,72.72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384R,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,54.56,0.19,2.6,,,,5.16,17.24,18.07,1.61,0.08,0.0664,,0.09,,,,,99.6,85.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,55,0.21,2.67,,,,3.67,16.08,20.04,1.73,0.15,0.1245,,0.04,,,,,99.59,88.65,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,39.9,0.72,21.94,,,,16.43,13.13,6.87,0.12,,0,,0.38,,,,,99.49,58.76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,39.44,0.74,21.94,,,,17.16,12.82,6.84,0.11,,0,,0.4,,,,,99.45,57.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.75,0.59,23.03,,,,11.93,17.8,4.91,0.08,,0,,0.34,,,,,99.43,72.68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.96,0.58,23.03,,,,11.54,17.86,4.95,0.09,,0,,0.3,,,,,99.31,73.40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363R,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.08,0.58,22.85,,,,11.91,18.13,4.32,0.06,,0,,0.37,,,,,99.3,73.07,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.83,0.48,23.15,,,,8.72,20.46,4.28,0.06,,0,,0.28,,,,,99.26,80.71,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.84,0.29,23.61,,,,8.44,20.53,4.11,0.05,,0,,0.32,,,,,99.19,81.26,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,54.37,0.21,2.37,,,,3.16,16.91,20.57,1.38,0.09,0.0747,,0.08,,,,,99.14,90.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,54.34,0.2,2.39,,,,3.15,16.91,20.53,1.39,0.08,0.0664,,0.09,,,,,99.08,90.54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.82,0.48,23.2,,,,8.41,20.52,4.21,0.07,,0,,0.31,,,,,99.02,81.31,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,38.78,0.61,21.8,,,,18.13,11.5,7.45,0.11,,0,,0.47,,,,,98.85,53.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.52,0.52,23.02,,,,8.6,20.48,4.21,0.07,,0,,0.27,,,,,98.69,80.94,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.36,0.51,23.03,,,,8.54,20.54,4.28,0.06,,0,,0.31,,,,,98.63,81.09,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2860,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.84,0.54,22.75,,,,10.03,19.54,4.29,0.06,,0,,0.3,,,,,98.35,77.65,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,53.73,0.42,4.91,,,,3.57,13.91,17.02,3.38,,0,,0.1,,,,,97.04,87.42,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284X,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.79,2.21,12.58,,,,3.98,24.46,0,0.44,9.8,8.134,,0,,,,,95.26,91.64,0.47,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343P,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.75,2.27,12.24,,,,4.1,24.28,0.05,0.5,9.84,8.1672,,0.01,,,,,95.04,91.35,0.42,,,,,,,,,,,,,,,,,,,,,,0.1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362Q,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,41.1,0.9,14.34,,,,3.87,24.02,0,0.48,9.96,8.2668,,0,,,,,94.67,91.71,0.31,,,,,,,,,,,,,,,,,,,,,,0.07,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362Q,GEOROC,10.1007/S00410-009-0384-7,DIAMONDS AND ECLOGITES OF THE JERICHO KIMBERLITE (NORTHERN CANADA),CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,65.9865,-111.482,0.01,40.56,1.31,13.9,,,,3.87,23.94,0,0.43,10.16,8.4328,,0,,,,,94.17,91.69,0.51,,,,,,,,,,,,,,,,,,,,,,0.1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R113,GEOROC,10.1007/BF00377416,"GRANULITIC AND ECLOGITIC INCLUSIONS FROM BASIC PIPES AT DELEGATE, AUSTRALIA",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-36.5,148.5,0.01,45.13,1.91,13.02,5.99,,5.88,11.26501,11.81,14.37,1.49,0.14,0.1162,0.24,0.3,,,,,99.43501,65.15,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R117,GEOROC,10.1007/BF00377416,"GRANULITIC AND ECLOGITIC INCLUSIONS FROM BASIC PIPES AT DELEGATE, AUSTRALIA",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-36.5,148.5,0.01,44.51,0.92,15.15,5.83,,6.49,11.73117,12.25,13.13,1.3,0.17,0.1411,0.08,0.21,,,,,99.37117,65.06,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R11,GEOROC,10.1007/BF00377416,"GRANULITIC AND ECLOGITIC INCLUSIONS FROM BASIC PIPES AT DELEGATE, AUSTRALIA",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-36.5,148.5,0.01,45.09,1.26,12.53,7.62,,8.21,15.06038,10.12,12.37,2.02,0.17,0.1411,0.34,0.23,,,,,98.85038,54.50,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R396,GEOROC,10.1007/BF00377416,"GRANULITIC AND ECLOGITIC INCLUSIONS FROM BASIC PIPES AT DELEGATE, AUSTRALIA",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-36.5,148.5,0.01,44.12,0.31,19.04,1.01,,5.88,6.78799,14.62,12.8,0.83,0.08,0.0664,0.02,0.13,,,,,98.71799,79.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R829,GEOROC,10.1007/BF00377416,"GRANULITIC AND ECLOGITIC INCLUSIONS FROM BASIC PIPES AT DELEGATE, AUSTRALIA",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-36.5,148.5,0.01,45.84,0.55,16.28,2.13,,4.02,5.93487,13.71,14.34,1.8,0.12,0.0996,0.02,0.11,,,,,98.68487,80.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R392,GEOROC,10.1007/BF00377416,"GRANULITIC AND ECLOGITIC INCLUSIONS FROM BASIC PIPES AT DELEGATE, AUSTRALIA",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-36.5,148.5,0.01,46.12,0.44,15.05,1.49,,4.87,6.20951,15.09,14.61,0.82,0.22,0.1826,0.04,0.11,,,,,98.66951,81.25,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R834,GEOROC,10.1007/BF00377416,"GRANULITIC AND ECLOGITIC INCLUSIONS FROM BASIC PIPES AT DELEGATE, AUSTRALIA",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,-36.5,148.5,0.01,46.26,0.73,11.89,2.89,,4.52,7.11811,14.47,16.23,1.57,0.05,0.0415,0.05,0.17,,,,,98.48811,78.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R419,GEOROC,10.1007/BF00377416,"GRANULITIC AND ECLOGITIC INCLUSIONS FROM BASIC PIPES AT DELEGATE, AUSTRALIA",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,21.34,-157.92,0.01,42.28,0.09,15.86,4.19,,8.54,12.30681,14.73,11.79,0.94,0.03,0.0249,0.05,0.19,,,,,98.21681,68.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEC-81-21,GEOROC,10.1007/BF01041749,"PETROCHEMISTRY OF ECLOGITES FROM THE KOIDU KIMBERLITE COMPLEX, SIERRA LEONE",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,8.6311,-10.9652,0.01,48.75,0.56,13.8,,,,10.99,12.16,11.13,2.57,0.29,0.2407,0.05,0.2,,,,,100.45,66.36,,544,3,,22,,,,,,,,,,,,,,,,,,,,,,250,,259,74,,28,12,105,,,,,,,,,0,,,,13.6,,,,,,,5,,,0,,,8.8,,107,,44,,,,,,
KEC86-13,GEOROC,10.1007/BF01041749,"PETROCHEMISTRY OF ECLOGITES FROM THE KOIDU KIMBERLITE COMPLEX, SIERRA LEONE",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,8.6311,-10.9652,0.01,48.07,0.74,14.16,,,,13.78,10.14,10.68,2.02,0.59,0.4897,0.07,0.26,,,,,100.44,56.75,,208,9,,19,,,,,,,,,,,,,,,,,,,,,,360,,117,75,,45,12,412,,,,,,,,,0,,,,26.4,,,,,,,5,,,0,,,12.6,,150,,186,,,,,,
KEC81-5,GEOROC,10.1007/BF01041749,"PETROCHEMISTRY OF ECLOGITES FROM THE KOIDU KIMBERLITE COMPLEX, SIERRA LEONE",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,8.6311,-10.9652,0.01,43.66,0.72,17.15,,,,16.22,10.35,10.73,0.87,0.37,0.3071,0.03,0.31,,,,,100.38,53.22,,830,0,,18,,,,,,,,,,,,,,,,,,,,,,275,,110,98,,18,14,100,,,,,,,,,0,,,,24.4,,,,,,,5,,,0,,,14,,56,,10,,,,,,
KEC81-10A,GEOROC,10.1007/BF01041749,"PETROCHEMISTRY OF ECLOGITES FROM THE KOIDU KIMBERLITE COMPLEX, SIERRA LEONE",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,8.6311,-10.9652,0.01,50.13,0.46,13.78,,,,8.34,11.44,12.06,3.24,0.73,0.6059,0.06,0.17,,,,,100.35,70.98,,353,16,,23,,,,,,,,,,,,,,,,,,,,,,252,,170,51,,46,12,378,,,,,,,,,0,,,,9.3,,,,,,,4,,,0,,,22.8,,220,,16,,,,,,
KEC-86-19,GEOROC,10.1007/BF01041749,"PETROCHEMISTRY OF ECLOGITES FROM THE KOIDU KIMBERLITE COMPLEX, SIERRA LEONE",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,8.6311,-10.9652,0.01,47.73,0.32,13.67,,,,8.17,16.29,12.49,0.88,0.48,0.3984,0.05,0.32,,,,,100.35,78.05,,1079,4,,27,,,,,,,,,,,,,,,,,,,,,,209,,265,20,,73,12,242,,,,,,,,,0,,,,43.1,,,,,,,6,,,0,,,15,,123,,12,,,,,,
KEC-86-KB-74A,GEOROC,10.1007/BF01041749,"PETROCHEMISTRY OF ECLOGITES FROM THE KOIDU KIMBERLITE COMPLEX, SIERRA LEONE",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,8.6311,-10.9652,0.01,46.03,0.45,26.71,,,,6.28,6.19,11.72,2.4,0.47,0.3901,0.03,0.09,,,,,100.34,63.73,,147,4,,8,,,,,,,,,,,,,,,,,,,,,,102,,159,70,,36,18,248,,,,,,,,,0,,,,4.2,,,,,,,2,,,,,,21.4,,380,,8,,,,,,
KEC-86-90,GEOROC,10.1007/BF01041749,"PETROCHEMISTRY OF ECLOGITES FROM THE KOIDU KIMBERLITE COMPLEX, SIERRA LEONE",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,8.6311,-10.9652,0.01,43.99,0.62,18.95,,,,10.61,18.13,7.06,0.42,0.28,0.2324,0.04,0.26,,,,,100.32,75.29,,506,2,,19,,,,,,,,,,,,,,,,,,,,,,206,,299,26,,23,12,89,,,,,,,,,0,,,,15.2,,,,,,,4,,,0,,,8.4,,50,,8,,,,,,
KEC81-2,GEOROC,10.1007/BF01041749,"PETROCHEMISTRY OF ECLOGITES FROM THE KOIDU KIMBERLITE COMPLEX, SIERRA LEONE",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,8.6311,-10.9652,0.01,47.39,1,12.72,,,,9.42,16.68,11.07,1.18,0.57,0.4731,0.18,0.23,,,,,100.26,75.94,,392,24,,64,,,,,,,,,,,,,,,,,,,,,,316,,221,35,,44,11,435,,,,,,,,,0,,,,16.9,,,,,,,4,,,0,,,15.6,,266,,48,,,,,,
KEC-81-12,GEOROC,10.1007/BF01041749,"PETROCHEMISTRY OF ECLOGITES FROM THE KOIDU KIMBERLITE COMPLEX, SIERRA LEONE",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,8.6311,-10.9652,0.01,46.7,1.41,14.88,,,,15.67,7.62,11.07,1.85,0.73,0.6059,0.16,0.31,,,,,100.24,46.44,,211,7,,22,,,,,,,,,,,,,,,,,,,,,,454,,143,127,,63,18,393,,,,,,,,,0,,,,39.5,,,,,,,4,,,0,,,13.8,,153,,6,,,,,,
KEC-86-72B,GEOROC,10.1007/BF01041749,"PETROCHEMISTRY OF ECLOGITES FROM THE KOIDU KIMBERLITE COMPLEX, SIERRA LEONE",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,8.6311,-10.9652,0.01,46.41,0.76,14.34,,,,13.83,9.5,12.79,2.11,0.23,0.1909,0.04,0.26,,,,,100.23,55.05,,332,4,,18,,,,,,,,,,,,,,,,,,,,,,310,,104,88,,35,15,85,,,,,,,,,0,,,,21.6,,,,,,,5,,,0,,,8.5,,117,,44,,,,,,
KEC-86-71B,GEOROC,10.1007/BF01041749,"PETROCHEMISTRY OF ECLOGITES FROM THE KOIDU KIMBERLITE COMPLEX, SIERRA LEONE",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,8.6311,-10.9652,0.01,46.1,0.56,17.8,,,,11.04,9.75,12.57,1.32,0.86,0.7138,0.05,0.23,,,,,100.23,61.16,,294,3,,22,,,,,,,,,,,,,,,,,,,,,,191,,156,69,,50,13,817,,,,,,,,,0,,,,20.8,,,,,,,3,,,0,,,15.3,,170,,20,,,,,,
KEC-86-58,GEOROC,10.1007/BF01041749,"PETROCHEMISTRY OF ECLOGITES FROM THE KOIDU KIMBERLITE COMPLEX, SIERRA LEONE",CONTRIB. MINERAL. PETROL.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,8.6311,-10.9652,0.01,48.59,0.34,14.12,,,,4.56,19.62,11.57,1.04,0.17,0.1411,0.03,0.19,,,,,100.2,88.47,,1147,17,,50,,,,,,,,,,,,,,,,,,,,,,333,,259,13,,17,10,178,,,,,,,,,0,,,,18.9,,,,,,,6,,,0,,,3.3,,235,,11,,,,,,
