SAMPLE ID,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
XUWCHIN-NCC-XS-603-2-2,PETDB,10.1016/j.lithos.2008.11.004,GEOCHEMISTRY OF ECLOGITE XENOLITHS IN MESOZOIC ADAKITIC ROCKS FROM XUZHOU-SUZHOU AREA IN CENTRAL CHINA AND THEIR TECTONIC IMPLICATIONS,LITHOS,,,,XENOLITH,,,ECLOGITE,35,116,1,46.02,1.22,15.55,4.82,,11.19,15.52318,7.99,9.45,1.75,0.27,0.2241,0.07,0.24,,,,,98.01318,47.85,,304.29,6.47,,18.39,2.42,11.8,3.62,1.21,4.13,0.73,4.86,1.02,3.22,0.48,3.22,0.46,,,,,,,,69.16,,411.81,64.31,126.64,,,61.12,,59.85,,,,,,,,,0.41,,,,28.4,,,,,1.97,,10.16,,,0.59,,,11.62,,198.84,,1.35,,,,,,
XUWCHIN-NCC-XS-L-4,PETDB,10.1016/j.lithos.2008.11.004,GEOCHEMISTRY OF ECLOGITE XENOLITHS IN MESOZOIC ADAKITIC ROCKS FROM XUZHOU-SUZHOU AREA IN CENTRAL CHINA AND THEIR TECTONIC IMPLICATIONS,LITHOS,,,,XENOLITH,,,ECLOGITE,35,116,1,45.63,1.13,11.72,6.74,,6.7,12.75926,10.62,13.11,1.83,0.23,0.1909,0.06,0.12,,,,,97.14926,59.74,,220.5,9.98,,34.57,6.38,31.24,7.37,2.08,6.16,0.82,4.16,0.77,2.11,0.29,1.89,0.25,,,,,,,,60.65,,409.11,77.99,112.64,,,92.02,,52.38,,,,,,,,,0.6,,,,20.84,,,,,2.85,,31.76,,,0.76,,,14.56,,339.59,,1.73,,,,,,
1,GEOROC,10.1016/j.lithos.2004.04.021,PETROLOGY OF HIGHLY ALUMINOUS XENOLITHS FROM KIMBERLITES OF YAKUTIA,LITHOS,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,66.43,112.32,0.01,46.36,0.34,24.08,1.32,,4.19,5.37668,7.13,13.85,1.89,0.72,0.5976,0.04,0.08,,,,,99.82668,70.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,GEOROC,10.1016/j.lithos.2004.04.021,PETROLOGY OF HIGHLY ALUMINOUS XENOLITHS FROM KIMBERLITES OF YAKUTIA,LITHOS,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,66.43,112.32,0.01,46.31,0.3,25.22,2.68,,4.53,6.93932,6.42,11.22,2.23,0.93,0.7719,0.07,0.1,,,,,99.66932,62.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,GEOROC,10.1016/j.lithos.2004.04.021,PETROLOGY OF HIGHLY ALUMINOUS XENOLITHS FROM KIMBERLITES OF YAKUTIA,LITHOS,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,66.43,112.32,0.01,44.99,0.28,25.16,2.96,,3.97,6.63104,8.09,11.36,1.61,1.4,1.162,0.07,0.11,,,,,99.63104,68.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3D,GEOROC,10.1016/j.tecto.2009.11.013,"ULTRAMAFIC XENOLITHS FROM VAJRAKARUR KIMBERLITES, INDIA","PROC. 4TH INTERN. KIMBERLITE CONF., VOL. 2, PERTH",,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,14.8,77.25,0.01,42.6,0.11,20.3,,,,3.91,11.2,17.3,0.78,0.07,0.0581,0.06,0.07,,,,,96.34,83.63,0.14,,8.9,,19,,8,0.97,0.36,,0.1,,,,,0.26,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3G2,GEOROC,10.2113/gsecongeo.82.1.87,"ULTRAMAFIC XENOLITHS FROM VAJRAKARUR KIMBERLITES, INDIA","PROC. 4TH INTERN. KIMBERLITE CONF., VOL. 2, PERTH",,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,14.8,77.25,0.01,46.8,0.16,12.6,,,,5.64,18.6,10.5,1.06,0.22,0.1826,0.02,0.24,,,,,95.82,85.46,2.49,,5.9,,36,,3,0.64,0.23,,0.2,,,,,1.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3F,GEOROC,10.1016/j.chemgeo.2014.05.003,"ULTRAMAFIC XENOLITHS FROM VAJRAKARUR KIMBERLITES, INDIA","PROC. 4TH INTERN. KIMBERLITE CONF., VOL. 2, PERTH",,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,14.8,77.25,0.01,44,0.28,11,,,,7.14,15.4,14.7,1.27,0.35,0.2905,0.1,0.16,,,,,94.3,79.36,0.21,,19.5,,41,,30,5.43,1.93,,0.6,,,,,1.83,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPARI-CC-7514,PETDB,,"LOWER CRUSTAL NODULES FROM THE CAMP CREEK LATITE, CAREFREE, ARIZONA",PROCEEDINGS OF THE THIRD INTERNATIONAL KIMBERLITE CONFERENCE,,,,XENOLITH,,,ECLOGITE,33,-111,1,45.14,0.41,18.96,,,13.74,13.74,10.92,11.74,0.74,0.12,0.0996,,0.3,,,,,102.07,58.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPARI-CC-7503,PETDB,,"LOWER CRUSTAL NODULES FROM THE CAMP CREEK LATITE, CAREFREE, ARIZONA",PROCEEDINGS OF THE THIRD INTERNATIONAL KIMBERLITE CONFERENCE,,,,XENOLITH,,,ECLOGITE,33,-111,1,43.46,0.55,19.67,,,15.35,15.35,9.44,11.95,0.48,0.09,0.0747,,0.34,,,,,101.33,52.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPARI-CC-7552,PETDB,,"LOWER CRUSTAL NODULES FROM THE CAMP CREEK LATITE, CAREFREE, ARIZONA",PROCEEDINGS OF THE THIRD INTERNATIONAL KIMBERLITE CONFERENCE,,,,XENOLITH,,,ECLOGITE,33,-111,1,44.6,0.46,18.15,,,12.94,12.94,13.18,10.05,0.58,0.09,0.0747,,0.25,,,,,100.3,64.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UV-5/83,GEOROC,10.1029/2002GC000355,MANTLE METASOMATISM AND MELTING IN MANTLE-DERIVED XENOLITHS FROM THE UDACHNAYA KIMBERLITE; THEIR POSSIBLE RELATIONSHIP WITH DIAMOND AND KIMBERLITE FORMATION,RUSS. GEOL. GEOPHYS.,,,,XENOLITH,UNKNOWN,UNKNOWN,ECLOGITE,66.43,112.32,0.01,39.1,0,36.1,,,,0.12,0,0.22,24.9,0.03,0.0249,,0,,,,,100.47,0.00,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCAUST-CT-821,PETDB,,"TRACE ELEMENT AND ISOTOPIC CHARACTERISTICS OF ECLOGITES AND OTHER XENOLITHS DERIVED FROM THE LOWER CONTINENTAL CRUST OF SOUTHWESTERN AUSTRALIA AND SOUTHWESTERN COLORADO PLATEAU, USA",,,,,XENOLITH,,,ECLOGITE,-33.6,139.1,0.1,50.15,0.42,13.36,2.06,,6.16,8.01194,10.42,14.59,1.06,0.1,0.083,0.01,0.13,,,,,98.24194,69.87,,1203,1,,2,,3,,,,,,,,,,,,,,,,,,55,,227,56,171,61,84,18,10.4,500,,,,,,,,,,,,,8,,,,,,,2,,,,,,0.9,,142,,10,,,,,,
ARCAUST-CT-822,PETDB,,"TRACE ELEMENT AND ISOTOPIC CHARACTERISTICS OF ECLOGITES AND OTHER XENOLITHS DERIVED FROM THE LOWER CONTINENTAL CRUST OF SOUTHWESTERN AUSTRALIA AND SOUTHWESTERN COLORADO PLATEAU, USA",,,,,XENOLITH,,,ECLOGITE,-33.6,139.1,0.1,48.85,0.41,12.3,2.36,,5.11,7.23164,11.08,15.66,2.04,0.38,0.3154,0.01,0.15,,,,,98.10164,73.20,,1298,1,,4,,1,,,,,,,,,,,,,,,,,,55,,222,54,150,42,4,17,9.6,1675,,,,,,,,,,,,,10,,,,,,,1,,,,,,3.8,,126,,6,,,,,,
ARCAUST-CT-840,PETDB,,"TRACE ELEMENT AND ISOTOPIC CHARACTERISTICS OF ECLOGITES AND OTHER XENOLITHS DERIVED FROM THE LOWER CONTINENTAL CRUST OF SOUTHWESTERN AUSTRALIA AND SOUTHWESTERN COLORADO PLATEAU, USA",,,,,XENOLITH,,,ECLOGITE,-33.6,139.1,0.1,44.85,0.97,14.35,3.92,,11.14,14.66408,8.4,12.63,1.64,0.08,0.0664,0.01,0.23,,,,,97.81408,50.53,,675,1,,3,,3,,,,,,,,,,,,,,,,,,61,,374,68,101,69,90,24,11,1235,,,,,,,,,,,,,33,,,,,,,1,,,,,,1.4,,99,,263,,,,,,
