SAMPLE ID,,IGSN,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
01-36,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,69.35,1.34,13.18,2.45,,7.24,3.12,2.02,1.89,1.46,1.21,0.03,0.11,,,,,99.74,43.43,,141.00,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,84.00,,352.00,,734.00,,,,,,,,,,,,,,,,,,,,,,,,,,83.00,,194.00,,,,,,,,
01-96,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,69.14,1.23,12.90,8.61,,7.75,2.75,2.83,1.65,0.75,0.62,0.03,0.10,,,,,99.13,38.76,,132.00,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,67.00,,416.00,,618.00,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,,328.00,,,,,,,,
02-52,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,67.66,1.13,14.45,7.72,,6.95,2.62,2.36,2.16,1.70,1.41,0.10,0.09,,,,,99.22,40.21,,108.00,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,135.00,,325.00,,524.00,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,,220.00,,,,,,,,
01-95,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,66.50,1.44,13.27,9.84,,8.85,3.26,2.81,1.82,0.82,0.68,0.10,0.13,,,,,99.00,39.63,,157.00,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,80.00,,425.00,,646.00,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,,334.00,,,,,,,,
02-58,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,61.53,1.22,17.43,8.21,,7.39,3.64,3.10,2.84,1.80,1.49,0.11,0.11,,,,,99.17,46.77,,102.00,,,,,,,,,,,,,,,,,,,,,,,,,,,62.00,94.00,,271.00,,801.00,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,,312.00,,,,,,,,
02-99,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,61.42,1.69,16.74,11.09,,9.98,3.80,2.05,1.94,1.01,0.84,0.12,0.13,,,,,98.88,40.44,,136.00,,,,,,,,,,,,,,,,,,,,,,,,,,,77.00,85.00,,342.00,,550.00,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,,193.00,,,,,,,,
02-36,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,62.12,1.34,18.53,1.38,,8.47,3.19,1.62,1.73,2.68,2.22,0.06,0.10,,,,,99.84,40.17,,137.00,,,,,,,,,,,,,,,,,,,,,,,,,,,59.00,127.00,,229.00,,662.00,,,,,,,,,,,,,,,,,,,,,,,,,,143.00,,160.00,,,,,,,,
02-34,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,57.56,1.24,20.66,3.12,,9.52,3.65,1.97,2.28,2.64,2.19,0.06,0.09,,,,,99.67,40.61,,137.00,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,71.00,,215.00,,876.00,,,,,,,,,,,,,,,,,,,,,,,,,,120.00,,223.00,,,,,,,,
02-131,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,44.79,2.09,15.63,1.95,,10.75,11.64,12.18,2.15,0.36,0.30,0.03,0.16,,,,,99.78,65.87,,358.00,,,,,,,,,,,,,,,,,,,,,,,,,,,141.00,78.00,,49.00,,74.00,,,,,,,,,,,,,,,,,,,,,,,,,,53.00,,202.00,,,,,,,,
01-106,,,,,,Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,69.53,0.81,14.59,2.17,,5.48,2.42,3.18,2.86,0.67,0.56,0.11,0.11,,,,,99.76,44.04,,57.00,,,,,,,,,,,,,,,,,,,,,,,,,,,94.00,39.00,,266.00,,312.00,,,,,,,,,,,,,,,,,,,,,,,,,,60.00,,273.00,,,,,,,,
02-111,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,49.58,0.18,27.08,0.71,,2.59,2.62,14.69,2.93,0.08,0.07,0.08,0.07,,,,,99.90,64.34,,109.00,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,206.00,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.00,,279.00,,,,,,,,
02-140,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,48.56,1.50,16.35,1.95,,10.42,8.31,11.90,1.99,0.37,0.31,0.18,0.19,,,,,99.77,58.70,,269.00,,,,,,,,,,,,,,,,,,,,,,,,,,,89.00,117.00,,94.00,,73.00,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,,280.00,,,,,,,,
02-104,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,44.57,0.94,20.20,2.47,,9.49,9.88,12.09,1.95,0.41,0.34,0.04,0.15,,,,,99.72,64.98,,286.00,,,,,,,,,,,,,,,,,,,,,,,,,,,102.00,73.00,,37.00,,56.00,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,,386.00,,,,,,,,
06SJ-17,,metased,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,46.59,1.36,13.61,2.72,,12.49,10.22,13.02,1.78,0.33,0.27,,0.22,,,,,99.62,59.34,,478.94,,,,,,,,,,,,,,,,,,,,,,,,,,,157.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05SJ-9,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,48.52,0.40,9.29,2.55,,6.24,21.90,12.10,0.55,0.01,0.01,,0.16,,,,,99.17,86.21,,3215.74,,,,,,,,,,,,,,,,,,,,,,,,,,,785.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,43.01,0.15,4.00,2.01,,9.38,35.23,6.63,0.56,0.06,0.05,,0.15,,,,,99.17,87.01,,3215.74,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06SJ-9,,metased,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,45.45,0.08,2.80,3.23,,8.69,38.71,3.08,,,0.00,,0.16,,,,,98.97,88.82,,3010.48,,,,,,,,,,,,,,,,,,,,,,,,,,,1885.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05SJ-8BR,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,41.90,0.10,1.54,2.51,,7.93,45.65,1.32,0.19,0.20,0.17,,0.13,,,,,98.96,91.12,,3489.42,,,,,,,,,,,,,,,,,,,,,,,,,,,2278.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-34,,,,,"The Ivrea zone, a model of the deep crust",Neues Jahrbuch für Mineralogie Abhandlungen,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,,,,64.37,1.26,14.54,1.56,,8.60,2.54,0.53,0.55,2.27,1.88,0.07,0.10,,,,,94.83,34.48,,123.00,,,,,,,,,,,,,,,,,,,,,,,,,,,53.00,122.00,,274.00,,615.00,,,,,,,,,,,,,,,,,,,,,,,,,,137.00,,105.00,,,,,,,,
92,,,GEOROC,10.1093/petrology/egs027,PETROLOGICAL NOTES ON LOWER-CRUSTAL NODULES FROM HYBLEAN PLATEAU (SICILY),PER. MINERAL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,37.17,14.92,0.01,49.14,0.33,21.63,1.92,,4.24,9.89,11.00,3.31,0.15,0.12,0.04,0.08,,,,,99.81,80.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,GEOROC,10.1016/0377-0273(94)00039-J,PETROLOGICAL NOTES ON LOWER-CRUSTAL NODULES FROM HYBLEAN PLATEAU (SICILY),PER. MINERAL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,37.17,14.92,0.01,48.53,0.33,25.74,2.55,,4.15,4.64,14.49,1.67,0.06,0.05,0.07,0.06,,,,,99.74,66.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,GEOROC,10.1086/590135,PETROLOGICAL NOTES ON LOWER-CRUSTAL NODULES FROM HYBLEAN PLATEAU (SICILY),PER. MINERAL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,37.17,14.92,0.01,50.21,0.31,17.94,2.66,,4.16,8.42,16.70,1.83,0.03,0.02,0.04,0.09,,,,,99.73,78.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,GEOROC,10.1130/B30790.1,PETROLOGICAL NOTES ON LOWER-CRUSTAL NODULES FROM HYBLEAN PLATEAU (SICILY),PER. MINERAL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,37.17,14.92,0.01,48.96,0.42,16.76,2.67,,6.33,10.94,14.61,1.42,0.09,0.07,0.08,0.12,,,,,99.73,75.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,GEOROC,10.1016/0040-1951(94)90006-X,PETROLOGICAL NOTES ON LOWER-CRUSTAL NODULES FROM HYBLEAN PLATEAU (SICILY),PER. MINERAL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,37.17,14.92,0.01,50.77,0.40,6.49,2.93,,11.91,25.22,4.35,0.29,0.03,0.02,0.03,0.22,,,,,99.71,79.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFE0048-00,,,GEOROC,10.1180/minmag.2007.071.6.651,PETROLOGICAL NOTES ON LOWER-CRUSTAL NODULES FROM HYBLEAN PLATEAU (SICILY),PER. MINERAL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,37.17,14.92,0.01,48.28,0.57,17.08,5.19,,7.89,9.00,14.10,2.49,0.04,0.03,0.03,0.00,,,,,99.48,67.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9A,,,GEOROC,10.1016/0009-2541(95)00188-3,PETROLOGICAL NOTES ON LOWER-CRUSTAL NODULES FROM HYBLEAN PLATEAU (SICILY),PER. MINERAL.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,37.17,14.92,0.01,49.75,0.40,14.62,5.47,,10.29,7.33,14.06,2.92,0.04,0.03,0.02,0.02,,,,,99.45,55.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L510,,,,,"Proterozoic mafic-ultramafic intrusions in the Arunta Region, central Australia Part 1: Geological setting and mineral potential",PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-22.78,130.90,,52.23,0.84,15.07,1.00,,9.71,8.96,9.52,2.02,1.05,0.87,0.11,0.17,0.98,,,,99.68,62.20,,579.00,14.86,,31.40,3.81,16.30,3.92,1.02,,0.92,4.76,0.99,2.93,,2.74,0.42,,,,,,,,32.00,,195.00,,157.00,81.00,74.00,90.00,15.40,228.00,,,,0.40,,,2.20,,0.63,,,,25.20,,,,,3.10,,6.80,,,2.40,,,50.50,,109.70,,4.70,,,,,,
L517,,,,,"Proterozoic mafic-ultramafic intrusions in the Arunta Region, central Australia Part 1: Geological setting and mineral potential",PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-22.78,130.90,,49.73,1.25,14.23,2.50,,14.80,7.47,9.65,1.71,0.52,0.43,0.06,0.22,1.40,,,,99.64,47.37,,346.00,6.63,,15.80,2.06,9.50,3.03,1.35,,0.76,4.64,0.96,2.83,,2.81,0.43,,,,,,,,46.00,,266.00,,119.00,68.90,77.00,52.00,19.20,49.00,,,,0.20,,,12.00,,0.90,,,,26.60,,,,,1.60,,4.70,,,0.90,,,6.70,,39.90,,2.40,,,,,,
L523,,,,,"Proterozoic mafic-ultramafic intrusions in the Arunta Region, central Australia Part 1: Geological setting and mineral potential",PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-22.78,130.90,,48.55,1.27,13.69,2.55,,14.34,7.97,11.96,1.66,0.18,0.15,0.08,0.25,1.34,,,,99.95,49.76,,196.00,3.93,,11.00,1.62,8.40,2.99,1.07,,0.85,5.27,1.12,3.29,,3.15,0.47,,,,,,,,54.00,,348.00,,78.00,109.20,109.00,43.00,17.80,17.00,,,,0.30,,,2.60,,0.07,,,,31.30,,,,,1.40,,2.20,,,0.30,,,4.80,,100.30,,2.70,,,,,,
L529,,,,,"Proterozoic mafic-ultramafic intrusions in the Arunta Region, central Australia Part 1: Geological setting and mineral potential",PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-22.78,130.90,,50.12,1.08,15.74,2.10,,11.20,7.91,10.20,1.94,0.94,0.78,0.22,0.18,1.04,,,,99.53,55.74,,157.00,25.34,,53.20,6.34,23.90,4.66,1.32,,0.94,5.29,1.14,3.19,,3.01,0.51,,,,,,,,31.00,,222.00,,131.00,104.80,49.00,125.00,18.00,416.00,,,,0.50,,,2.50,,0.34,,,,31.00,,,,,3.40,,6.20,,,2.60,,,30.30,,169.90,,7.80,,,,,,
L533,,,,,"Proterozoic mafic-ultramafic intrusions in the Arunta Region, central Australia Part 1: Geological setting and mineral potential",PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-22.78,130.90,,53.63,1.42,16.03,2.49,,10.46,5.94,8.87,2.19,0.81,0.67,0.10,0.20,0.91,,,,99.65,50.31,,155.00,25.28,,53.90,6.61,27.50,6.34,1.88,,1.20,6.33,1.31,3.68,,3.46,0.55,,,,,,,,31.00,,219.00,,103.00,105.00,76.00,145.00,21.40,360.00,,,,0.60,,,3.00,,0.42,,,,34.40,,,,,5.60,,5.20,,,3.30,,,27.10,,290.50,,9.00,,,,,,
L509,,,,,"Proterozoic mafic-ultramafic intrusions in the Arunta Region, central Australia Part 1: Geological setting and mineral potential",PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-22.78,130.90,,50.31,0.92,16.07,1.69,,10.43,8.87,10.78,1.71,0.44,0.37,0.08,0.18,0.99,,,,99.79,60.26,,267.00,9.44,,19.60,2.47,10.80,2.85,0.99,,0.70,4.45,0.96,2.81,,2.62,0.43,,,,,,,,37.00,,225.00,,162.00,81.40,78.00,75.00,16.90,113.00,,,,0.40,,,2.50,,0.47,,,,26.70,,,,,2.50,,6.20,,,1.80,,,23.30,,95.30,,3.50,,,,,,
L516,,,,,"Proterozoic mafic-ultramafic intrusions in the Arunta Region, central Australia Part 1: Geological setting and mineral potential",PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-22.78,130.90,,47.47,1.48,14.43,2.50,,14.04,7.52,12.53,1.70,0.14,0.12,0.14,0.24,1.31,,,,99.69,48.85,,162.00,11.46,,27.50,3.42,15.40,4.10,1.31,,0.98,5.53,1.22,3.56,,3.34,0.50,,,,,,,,56.00,,355.00,,77.00,110.80,73.00,100.00,19.10,51.00,,,,0.50,,,1.90,,0.23,,,,34.10,,,,,2.70,,2.90,,,0.60,,,5.00,,141.20,,6.00,,,,,,
SI 297B,,,,," Geochemical and Nd-Pb-O isotope systematics of granites from the Taltson Magmatic Zone, NE Alberta: implications for early Proterozoic tectonics in western Laurentia",PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,59.50,-110.50,,72.97,0.07,15.11,,,0.74,0.57,1.01,3.06,6.36,5.28,0.95,0.01,,,,,100.85,57.86,,,93.79,,166.18,16.76,59.32,9.96,1.68,6.67,0.84,4.33,0.77,1.83,,1.40,0.23,,,,,,,,,,,,,,,300.00,,1293.00,,,,1.88,,,,,1.86,,,,19.90,,,,,8.27,,23.05,,,22.54,,,132.70,1.33,238.00,,13.61,,,,,,
L517,,,,,"Proterozoic mafic-ultramafic intrusions in the Arunta Region, central Australia Part 1: Geological setting and mineral potential",PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-22.78,130.90,,56.87,1.33,15.57,3.67,,9.79,4.64,8.62,2.66,0.18,0.15,0.10,0.13,0.72,,,,99.89,45.79,,125.00,4.19,,13.00,2.26,13.60,4.80,1.49,,0.94,4.88,0.94,2.51,,1.92,0.27,,,,,,,,20.00,,139.00,,90.00,108.40,41.00,86.00,21.20,58.00,,,,0.20,,,2.50,,,,,,25.60,,,,,2.50,,2.60,,,0.30,,,6.80,,161.80,,1.50,,,,,,
MK3,,,GEOROC,10.1016/j.precamres.2006.05.006,"ISOTOPIC AND GEOCHEMICAL EVIDENCE OF PROTEROZOIC EPISODIC CRUSTAL REWORKING WITHIN THE IRUMIDE BELT OF SOUTH-CENTRAL AFRICA, THE SOUTHERN METACRATONIC BOUNDARY OF AN ARCHAEAN BANGWEULU CRATON",PREC. RESEARCH,542,1521,2500,METAMORPHIC,UNKNOWN,UNKNOWN,GNEISS,-11,27,0.01,70.8,0.66,15.5,,4.05,3.64,0.61,1.66,2.86,4.87,4.04,0.13,,0.01,,,,100.73,22.98,,31.1,33.7,,72,6.66,25,5.3,1.36,3.92,0.74,3.59,0.59,1.63,0.26,1.73,0.3,70,2.77,,,,,,14.7,,108,63.3,12.8,76.5,5.29,78.2,17.6,1112,27.1,,,1.28,0.07,,1.89,,1.81,,,,20,0.49,,,,1.62,,9.71,,,5.61,0.72,,143,6.02,165,0.07,5.74,,,,,,
CHL5,,,GEOROC,10.1016/j.precamres.2006.05.006,"ISOTOPIC AND GEOCHEMICAL EVIDENCE OF PROTEROZOIC EPISODIC CRUSTAL REWORKING WITHIN THE IRUMIDE BELT OF SOUTH-CENTRAL AFRICA, THE SOUTHERN METACRATONIC BOUNDARY OF AN ARCHAEAN BANGWEULU CRATON",PREC. RESEARCH,542,1521,2500,METAMORPHIC,UNKNOWN,UNKNOWN,GNEISS,-11,27,0.01,69.8,1.32,14.3,,5.13,4.62,1.04,3.27,2.69,3.36,2.79,0.21,,0.01,,,,100.61,28.66,,14.4,52.1,,118,12,45.9,10.1,2.14,7.56,1.38,6.88,1.01,2.88,0.46,2.99,0.49,120,5.33,,,,,,10.1,,82.6,53.8,6.7,116,15.2,96.7,22,1392,18.7,,,0.55,0.05,,1.32,,2.06,,,,33.8,0.7,,,,2.48,,27.6,,,9.83,1.01,,186,7.31,150,0.13,6.58,,,,,,
KRL/X42,,,,,"Petrology and geochemistry of the Neoproterozoic Guaxupé granulite facies terrain, southeastern Brazil",PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-21.30,-46.70,,71.00,0.22,13.38,1.08,,2.94,1.25,1.70,4.06,5.90,4.90,0.07,0.07,,,,,100.59,43.10,,,53.00,,104.00,,42.00,6.70,2.20,,0.80,,,,,1.60,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC-23,,,,,REGIONAL GEOCHEMICAL AND ISOTOPIC CHARACTERISTICS OF HIGH-GRADE METAMORPHICS OF THE PRYDZ BAY AREA - THE EXTENT OF PROTEROZOIC REWORKING OF ARCHEAN CONTINENTAL-CRUST IN EAST ANTARCTICA,PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-80.00,60.00,,74.60,0.02,14.91,0.14,,0.45,,1.74,3.17,5.20,4.32,0.07,,0.16,0.23,,,100.16,,,,15.00,,21.00,,6.00,,,,,,,,,,,,,,,,,,,,4.00,,,7.00,4.00,24.00,13.00,917.00,,,,,,,,,,,,,5.00,,,,,,,58.00,,,,,,162.00,,164.00,,,,,,,,
115,,metased,,,REGIONAL GEOCHEMICAL AND ISOTOPIC CHARACTERISTICS OF HIGH-GRADE METAMORPHICS OF THE PRYDZ BAY AREA - THE EXTENT OF PROTEROZOIC REWORKING OF ARCHEAN CONTINENTAL-CRUST IN EAST ANTARCTICA,PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-80.00,60.00,,71.70,0.43,13.63,0.77,,2.75,0.88,2.17,2.50,4.96,4.12,0.11,0.05,0.19,1.11,,,99.18,36.30,,11.00,49.00,,83.00,,35.00,,,,,,,,,,,,,,,,,,,,34.00,,3.00,37.00,5.00,161.00,14.00,770.00,,,,,,,,,,,,,21.00,,,,,,,30.00,,,,,,186.00,,131.00,,8.00,,,,,,
Inter CM,,,,,REGIONAL GEOCHEMICAL AND ISOTOPIC CHARACTERISTICS OF HIGH-GRADE METAMORPHICS OF THE PRYDZ BAY AREA - THE EXTENT OF PROTEROZOIC REWORKING OF ARCHEAN CONTINENTAL-CRUST IN EAST ANTARCTICA,PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-80.00,60.00,,70.80,0.70,13.96,0.89,,4.21,0.99,1.69,2.61,4.70,3.90,0.19,0.14,0.18,0.28,,,99.99,29.54,,22.00,47.00,,84.00,,37.00,,,,,,,,,,,,,,,,,,,,49.00,,5.00,16.00,14.00,289.00,10.00,441.00,,,,,,,,,,,,,67.00,,,,,,,22.00,,,,,,221.00,,63.00,,9.00,,,,,,
L508,,,,,"Proterozoic mafic-ultramafic intrusions in the Arunta Region, central Australia Part 1: Geological setting and mineral potential",PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-22.78,130.90,,52.17,0.88,15.96,2.17,,9.67,6.84,10.82,1.99,0.58,0.48,0.10,0.16,0.86,,,,99.17,55.77,,289.00,11.80,,25.30,3.10,13.50,3.32,1.03,,0.77,4.62,1.00,2.92,,2.87,0.45,,,,,,,,35.00,,176.00,,109.00,75.50,73.00,82.00,16.30,175.00,,,,0.50,,,2.80,,0.36,,,,27.60,,,,,2.20,,15.70,,,1.30,,,25.40,,106.10,,4.10,,,,,,
78,,metased,,,REGIONAL GEOCHEMICAL AND ISOTOPIC CHARACTERISTICS OF HIGH-GRADE METAMORPHICS OF THE PRYDZ BAY AREA - THE EXTENT OF PROTEROZOIC REWORKING OF ARCHEAN CONTINENTAL-CRUST IN EAST ANTARCTICA,PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-80.00,60.00,,74.10,0.51,12.05,1.06,,2.16,0.54,1.49,3.56,5.14,4.27,0.10,0.05,0.20,0.48,,,99.70,30.79,,6.00,43.00,,72.00,,38.00,,,,,,,,,,,,,,,,,,,,12.00,,6.00,23.00,11.00,375.00,13.00,746.00,,,,,,,,,,,,,45.00,,,,,,,7.00,,,,,,140.00,,86.00,,17.00,,,,,,
DC-22,,,,,REGIONAL GEOCHEMICAL AND ISOTOPIC CHARACTERISTICS OF HIGH-GRADE METAMORPHICS OF THE PRYDZ BAY AREA - THE EXTENT OF PROTEROZOIC REWORKING OF ARCHEAN CONTINENTAL-CRUST IN EAST ANTARCTICA,PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-80.00,60.00,,72.60,0.25,14.46,0.13,,2.12,0.66,1.83,2.51,5.43,4.51,0.04,0.03,0.25,0.25,,,99.93,35.73,,11.00,35.00,,58.00,,21.00,,,,,,,,,,,,,,,,,,,,28.00,,2.00,26.00,5.00,136.00,14.00,1262.00,,,,,,,,,,,,,12.00,,,,,,,40.00,,,,,,188.00,,272.00,,1.00,,,,,,
SR12,,,GEOROC,10.1016/j.precamres.2006.05.006,"ISOTOPIC AND GEOCHEMICAL EVIDENCE OF PROTEROZOIC EPISODIC CRUSTAL REWORKING WITHIN THE IRUMIDE BELT OF SOUTH-CENTRAL AFRICA, THE SOUTHERN METACRATONIC BOUNDARY OF AN ARCHAEAN BANGWEULU CRATON",PREC. RESEARCH,542,1521,2500,METAMORPHIC,UNKNOWN,UNKNOWN,GNEISS,-11,27,0.01,77.3,0.33,12.5,,2.04,1.84,0.16,0.73,2.21,5.26,4.37,0.06,,0.01,,,,100.39,13.45,,7.08,118,,288,22.5,80.3,16.8,1.43,15.1,2.9,15.6,2.87,8.69,1.59,9.49,1.46,16.5,3.98,,,,,,2.6,,13.2,10.3,2.58,84.4,2.6,339,19.5,448,11.4,,,2.24,0.03,,6.26,,2.83,,,,88.6,0.96,,,,10.4,,40,,,34.9,1.47,,329,1.82,24.1,0.03,66.8,,,,,,
L530,,,,,"Proterozoic mafic-ultramafic intrusions in the Arunta Region, central Australia Part 1: Geological setting and mineral potential",PREC. RESEARCH,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,-22.78,130.90,,53.11,2.01,14.44,4.21,,11.97,4.41,9.10,2.28,0.91,0.76,0.24,0.21,0.91,,,,98.68,39.65,,28.00,33.52,,75.10,9.37,40.30,8.88,2.23,,1.68,8.43,1.70,4.75,,4.16,0.62,,,,,,,,35.00,,351.00,,68.00,122.30,88.00,221.00,23.10,414.00,,,,0.90,,,3.40,,0.44,,,,46.30,,,,,6.70,,7.00,,,3.10,,,26.90,,283.20,,14.90,,,,,,
