SAMPLE ID,,IGSN,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
N27-21,,,GEOROC,10.1144/0016-764901-169,MAFIC LOWER CRUSTAL XENOLITHS FROM THE NORTHWESTERN PART OF THE ARABIAN PLATE,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,32.00,36.00,0.01,48.30,0.85,13.85,2.95,,6.15,8.80,11.95,12.30,1.75,0.20,0.17,0.25,0.14,,,,,98.14,70.76,0.12,550.00,7.48,0.014301378,13.80,,,3.53,1.14,,0.74,,,,,2.52,0.35,,,,,,,,,,111.00,85.00,182.00,,,114.00,,286.00,,,,,,,,,,,,,22.00,,,,,,,,,,,,,4.00,,250.00,,4.00,,,,,,
105796,,,,,Metaluminous pyroxene-bearing granulite xenoliths from the lower continental crust in central Spain: their role in the genesis of Hercynian I-type granites,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,37.86,-4.73,,71.03,0.60,13.75,4.28,,,3.85,2.17,1.57,3.37,1.62,1.344843,0.09,0.06,1.35,,,,98.02,50.11,0.01,69.00,37.60,0.001493001,62.80,6.71,24.20,4.13,2.11,4.22,0.72,4.49,0.91,2.60,0.40,2.67,0.42,,,,,,,,,,59.00,9.00,19.00,,,157.00,14.80,703.00,,,,0.20,,,,,0.38,,,,26.20,,,,,3.98,,12.50,,,2.38,,,50.10,2.70,453.00,,3.47,,,,,,
N27-21,,,GEOROC,10.1016/S0377-0273(98)00063-8,MAFIC LOWER CRUSTAL XENOLITHS FROM THE NORTHWESTERN PART OF THE ARABIAN PLATE,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,32.00,36.00,0.01,50.10,0.78,12.45,2.15,,6.45,8.38,11.98,12.10,1.35,0.12,0.10,0.35,0.20,,,,,97.46,71.81,0.14,654.00,3.52,0.018466065,8.12,,,2.05,0.69,,0.46,,,,,1.80,0.27,,,,,,,,,,120.00,92.00,235.00,,,122.00,,186.00,,,,,,,,,,,,,20.00,,,,,,,,,,,,,4.00,,214.00,,7.00,,,,,,
81845,,,,,Metaluminous pyroxene-bearing granulite xenoliths from the lower continental crust in central Spain: their role in the genesis of Hercynian I-type granites,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,37.86,-4.73,,59.36,1.12,17.29,7.13,,,6.42,3.19,2.28,3.15,3.89,3.2292835,0.19,0.07,2.00,,,,96.77,46.99,0.02,100.00,62.60,0.003693213,127.00,15.00,56.00,8.34,2.46,5.31,0.76,4.11,0.84,2.75,0.41,2.63,0.39,,,,,,,,17.00,,162.00,21.00,47.00,,,263.00,22.00,1050.00,,,,0.50,,,,,1.43,,,,21.90,,,,,7.20,,21.00,,,37.90,,,121.00,7.70,347.00,,7.70,,,,,,
103184,,,,,Metaluminous pyroxene-bearing granulite xenoliths from the lower continental crust in central Spain: their role in the genesis of Hercynian I-type granites,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,37.86,-4.73,,48.26,1.66,19.55,14.85,,,13.36,6.13,3.39,2.49,0.93,0.7720395,0.07,0.19,1.26,,,,95.96,44.99,0.04,172.00,35.70,0.002907423,67.10,7.60,29.30,7.20,2.62,9.95,2.00,12.80,2.74,8.70,1.28,8.02,1.15,,,,,,,,37.00,,270.00,27.00,37.00,,,137.00,24.00,547.00,,,,0.62,,,,,1.05,,,,72.30,,,,,3.90,,14.00,,,5.27,,,13.00,4.70,369.00,,13.60,,,,,,
103490-B,,,,,Metaluminous pyroxene-bearing granulite xenoliths from the lower continental crust in central Spain: their role in the genesis of Hercynian I-type granites,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,37.86,-4.73,,52.37,1.26,19.32,7.51,,,6.76,4.21,5.75,4.61,1.38,1.145607,0.38,0.13,2.46,,,,95.79,52.62,0.03,161.00,22.10,0.004557582,48.30,6.17,25.70,5.27,1.62,4.57,0.65,3.57,0.69,1.84,0.28,1.77,0.30,,,,,,,,,,147.00,25.00,58.00,,,367.00,24.20,329.00,,,,0.67,,,,,0.88,,,,19.40,,,,,8.40,,7.59,,,2.92,,,46.10,3.37,409.00,,11.80,,,,,,
105779,,,,,Metaluminous pyroxene-bearing granulite xenoliths from the lower continental crust in central Spain: their role in the genesis of Hercynian I-type granites,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,37.86,-4.73,,52.77,0.49,18.98,5.28,,,4.75,3.16,6.15,5.26,2.59,2.15,0.27,0.16,5.25,,,,94.31,54.25,0.02,102.00,33.40,0.006757794,64.30,8.04,32.70,6.95,1.23,6.02,0.94,5.31,1.02,2.81,0.40,2.72,0.41,,,,,,,,,,139.00,27.00,86.00,,,146.00,24.40,2846.00,,,,1.41,,,,,3.56,,,,28.60,,,,,4.47,,8.50,,,7.16,,,99.60,0.59,1670.00,,8.84,,,,,,
105775,,,,,Metaluminous pyroxene-bearing granulite xenoliths from the lower continental crust in central Spain: their role in the genesis of Hercynian I-type granites,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,37.86,-4.73,,46.68,0.78,18.08,8.32,,,7.49,7.41,10.40,1.49,1.65,1.3697475,0.05,0.11,4.92,,,,94.09,63.83,0.14,636.00,3.35,0.00392895,7.89,1.34,7.45,2.74,0.78,3.13,0.53,3.19,0.64,1.72,0.24,1.56,0.23,,,,,,,,,,203.00,32.00,50.00,,,34.50,17.40,312.00,,,,0.11,,,,,0.03,,,,17.60,,,,,1.26,,0.50,,,0.10,,,119.00,4.81,257.00,,2.11,,,,,,
U-3,,,,,Metaluminous pyroxene-bearing granulite xenoliths from the lower continental crust in central Spain: their role in the genesis of Hercynian I-type granites,EUR. J. MINERAL.,,,,Xenolith,,,Granulite,37.86,-4.73,,59.94,0.60,13.98,4.14,,,3.73,1.71,6.22,3.17,3.38,2.805907,0.32,0.07,6.05,,,,92.80,45.01,0.00,16.00,19.70,0.001178685,43.00,5.30,22.10,5.09,1.39,5.31,0.87,4.44,0.81,2.33,0.31,1.75,0.24,,,,,,,,11.00,,56.00,8.00,15.00,,,121.00,16.00,794.00,,,,0.32,,,,,0.25,,,,20.70,,,,,3.20,,6.00,,,0.24,,,119.00,3.00,415.00,,6.00,,,,,,
PETDB-1981-DMP28,,,PETDB,10.1029/2008gc001952,"MAGNETIC STUDY OF MAFIC GRANULITE XENOLITHS FROM THE HANNUOBA BASALT, NORTH CHINA",GEOCHEM GEOPHYS GEOSYST,,,,Xenolith,,,Granulite,41.00,115.00,1,50.3,0.64,9.57,1.76,,9.02,10.603648,13.85,11.42,1.35,0.38,0.32,0.04,0.18,,,,,98.29,69.96,0.00,,3.23,0,,,,,,,,,,,,0.96,,,,,,0.04,,,,,203,64.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,,,,,,,,
