Supplementary Table 1. Compositions of samples from Archean granulite-facies terrains.,class,continent,ref,SiO2,TiO2,Al2O3,Fe2O3,FeO,TOTAL FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho ,Er,Yb,Lu,Hf,Ta,Pb,Th,U,Sn,tot.,norm,SiO2,TiO2,Al2O3,Fe2O3,FeO,FeO Total,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho ,Er,Yb,Lu,Hf,Ta,Pb,Th no XRF,U no XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77284651,metased,Antarctica,,65.4,1.14,14.91,1.68,2.7,4.21,0.04,9.15,0.39,1.26,0.83,0.06,,,63,20,,19,3,20,16,38,19,33.00,405.00,36.00,,108,118,196,,,,,,,,,,,,,,5,73,12,1,97.4,,67.2,1.2,15.3,1.7,2.8,4.3,0.0,9.4,0.4,1.3,0.9,0.1,,,64.7,20.5,,19.5,3.1,20.5,16.4,39.0,19.5,33.9,415.8,37.0,,110.9,121.2,201.2,,,,,,,,,,,,,,5.1,75.0,12.3,,1.0,,79.5,,0.806041355,0.038203776,0.159920282,0.56294096,0.69805229,0.6,,,4.206951823,0.157457827,2.728461693,0.545223358,1.019681337,1.464287383,-3.192446261,2.240183444,-0.915178976,0.257541285,-0.159900014,-2.786981153,,,4.169564291,3.022161838,,2.970868543,1.125041853,3.022161838,2.799018286,3.664015724,2.970868543,3.522937126,6.030316631,3.609948503,,4.708560791,4.797114189,5.304544223,,,,,,,,,,,,,,1.635867477,4.316889005,2.511336214
B19,,Europe,"Drury, S. A. (1980). ""LEWISIAN PYROXENE GNEISSES FROM BARRA AND THE GEOCHEMISTRY OF THE ARCHEAN LOWER CRUST."" Scottish Journal of Geology 16: 199-207.",65.40,0.39,19.50,,2.50,2.50,0.03,0.80,4.60,4.80,1.14,0.09,,,,,,,,,,4.0,570,2.00,124.00,4.00,,341,,,,,,,,,,,,,,,,10.0,,,,99.3,,65.9,0.4,19.6,,2.5,2.5,0.0,0.8,4.6,4.8,1.1,0.1,,,,,,,,,,4.0,574.3,2.0,124.9,4.0,,343.6,,,,,,,,,,,,,,,,10.1,,,,,,36.3,,0.528727183,0.226372214,0.246776854,0.511140446,0.457891172,0.1,,,4.188050525,-0.934080273,2.977942732,,0.923818998,0.923818998,-3.499029631,-0.215615285,1.53358457,1.576144184,0.138556529,-2.400417342,,,,,,,,,,1.393822628,6.353164627,0.700675447,4.827809832,1.393822628,,5.839410744,,,,,,,,,,,,,,,,2.310113359,,
98,,Africa,Kroener et al. (1999) Limpopo granitoids,65.41,0.48,17.26,1.43,1.67,2.96,0.04,1.02,3.76,5.29,1.51,0.14,,,37,4,84,1,4,70,25,55,461,5.00,209.00,5.00,,386,,,,,,,,,,,,,,,,,,,,97.9,,66.8,0.5,17.6,1.5,1.7,3.0,0.0,1.0,3.8,5.4,1.5,0.1,,,37.8,4.1,85.8,1.0,4.1,71.5,25.5,56.2,471.0,5.1,213.6,5.1,,394.4,,,,,,,,,,,,,,,,,,,,,,38.1,,0.506406753,0.198797514,0.300186307,0.553389684,0.438561113,0.0,,,4.202238846,-0.712405481,2.86995538,0.379238139,0.534387321,1.105642211,-3.197312131,0.041366322,1.345982652,1.68738194,0.433673345,-1.944549162,,,3.632481607,1.407858055,4.452380493,0.021563694,1.407858055,4.270058936,3.240439519,4.028896879,6.154961737,1.631001607,5.363897946,1.631001607,,5.977401064,,,,,,,,,,,,,,,,,,
139160,,Africa,Bingen et al. 1988 Kasai Craton (Zaire) aluminous rocks,65.43,0.56,16,,7.82,7.82,0.11,3.17,1.63,2.13,1.89,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,,66.2,0.6,16.2,,7.9,7.9,0.1,3.2,1.6,2.2,1.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,0.65506398,0.121062299,0.226514871,0.554046861,0.567302048,0.3,,,4.192648674,-0.56815069,2.784256527,,2.068352359,2.068352359,-2.195607108,1.165399393,0.50024782,0.767789785,0.648244634,-2.290917288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPS-6,,ASIA,"Rosen, O.M., 1988. Plagiogneisses and metabasites. In: M.S. Markov, Editor, Archaean of the Anabar Shield and Problems of the Early Evolution of the Earth, Nauka, Moscow (1988), pp. 8–31",65.45,0.71,14.41,,5.53,5.53,0.09,2.36,4.02,3.54,2.59,0.20,14.00,15.00,150.00,100.00,17.00,32.00,15.00,60.00,25.00,32.00,330.00,,200.00,21.00,,630.00,,,,,,,,,,,,,,,,15.00,,,,98.9,,66.2,0.7,14.6,,5.6,5.6,0.1,2.4,4.1,3.6,2.6,0.2,14.2,15.2,151.7,101.1,17.2,32.4,15.2,60.7,25.3,32.4,333.7,,202.2,21.2,,637.0,,,,,,,,,,,,,,,,15.2,,,,,,43.2,,0.477295846,0.241126158,0.28433681,0.522984733,0.413350328,0.0,,,4.19234744,-0.331429362,2.678983357,,1.721248763,1.721248763,-2.396884661,0.869722566,1.40234285,1.275187675,0.962718823,-1.598376965,2.650118277,2.719111148,5.021696241,4.616231133,2.844274291,3.47679685,2.719111148,4.10540551,3.229936772,3.47679685,5.810153602,,5.309378314,3.055583385,,6.456780767,,,,,,,,,,,,,,,,2.719111148,,
524101,,Greenland,Thrym Complex Bagas et al. 2013,65.47,0.68,16.04,4.54,,4.09,0.06,1.39,2.78,4.52,14.94,0.21,,5,50,10,7,10,5,70,22,82,574,16,373,13.6,0.4,1543,155,269,28,87.5,11.1,2.06,5.6,0.65,3.3,0.57,1.56,1.41,0.216,8.2,1.4,0.05,19.7,1.55,1,110.2,,59.4,0.6,14.6,4.1,,3.7,0.1,1.3,2.5,4.1,13.6,0.2,,4.5,45.4,9.1,6.4,9.1,4.5,63.5,20.0,74.4,521.0,14.5,338.5,12.3,0.4,1400.4,140.7,244.1,25.4,79.4,10.1,1.9,5.1,0.6,3.0,0.5,1.4,1.3,0.2,7.4,1.3,0.0,17.9,1.4,,0.9,,37.7,,0.336394168,0.11312643,0.528503252,0.696700336,0.291325895,-0.3,,,4.084627143,-0.4757012,2.677981903,1.416964014,,1.311381252,-2.9650613,0.232149186,0.925299964,1.41248931,2.606887754,-1.643306047,,1.512477615,3.815062708,2.205624795,1.848949851,2.205624795,1.512477615,4.151534944,2.994082156,4.30975895,6.255669099,2.675628425,5.824618122,2.513109495,-1.013251029,7.244523555,4.946464819,5.497751082,3.235244213,4.374678496,2.309984811,0.625745685,1.6258063,-0.527743214,1.096962171,-0.659079216,0.347725524,0.246629407,-1.629437169,2.007173857,0.239511939,-3.092692571,2.883658338,0.341294633
5,,ASIA,"Kutty & Iyer, 1978 North Arcot, India, granulite, gneiss, granite ",65.50,0.31,18.86,0.31,3.32,3.60,0.02,1.40,2.65,4.07,3.36,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,65.6,0.3,18.9,0.3,3.3,3.6,0.0,1.4,2.7,4.1,3.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,0.554515013,0.141845179,0.303914331,0.581171838,0.480224088,0.1,,,4.18316138,-1.170071744,2.938154514,-1.170071744,1.20107602,1.281750039,-3.910911768,0.337583474,0.975670877,1.404754237,1.213052211,-2.119152299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65-196,,Europe,"Pride, C. and G. K. Muecke (1980). ""RARE-EARTH ELEMENT GEOCHEMISTRY OF THE SCOURIAN COMPLEX NW SCOTLAND - EVIDENCE FOR THE GRANITE-GRANULITE LINK."" Contributions to Mineralogy and Petrology 73(4): 403-412.",65.52,0.02,20.63,0.21,0.31,0.50,0.01,0.33,2.08,8.39,1.07,0.01,,0.33,,,,,,,,,,,,,,,30.1,44.7,,,0.9,1.19,,0.13,,,,0.35,0.03,1.2,,,1.85,,,98.6,,66.5,0.0,20.9,0.2,0.3,0.5,0.0,0.3,2.1,8.5,1.1,0.0,,0.3,,,,,,,,,,,,,,,30.5,45.4,,,0.9,1.2,,0.1,,,,0.4,0.0,1.2,,,1.9,,,,,54.1,,0.527455469,0.096199269,0.379964513,0.643692248,0.456789836,0.1,,,4.196870698,-3.897507747,3.041261586,-1.54613249,-1.156667723,-0.680718097,-4.590654927,-1.094147366,0.746883152,2.141555779,0.082173907,-4.590654927,,-1.094147366,,,,,,,,,,,,,,,3.41904043,3.81448876,,,-0.090845257,0.188468566,,-2.02570557,,,,-1.035306866,-3.492042639,0.196836815,,,0.629700898,
9-2,,Europe,"Rollinson 2012, Scourian granulites and gneiss",65.54,0.66,15.59,5.39,,4.85,0.06,2.29,5.76,3.89,0.63,0.14,,13,110,80,16,20,40,70,18,2,621,7.3,244,2.8,,421,23.8,43.8,4.45,16.7,2.73,1.01,1.96,0.28,1.51,0.28,0.79,0.73,0.11,4.5,0.07,,0.11,0.11,,99.4,,65.9,0.7,15.7,5.4,,4.9,0.1,2.3,5.8,3.9,0.6,0.1,,13.1,110.7,80.5,16.1,20.1,40.2,70.4,18.1,2.0,624.7,7.3,245.4,2.8,,423.5,23.9,44.1,4.5,16.8,2.7,1.0,2.0,0.3,1.5,0.3,0.8,0.7,0.1,4.5,0.1,,0.1,0.1,,,,45.7,,0.471552322,0.316343018,0.213579183,0.449355344,0.40837629,-0.1,,,4.188578902,-0.409597186,2.752547941,1.690463643,,1.584880881,-2.807492458,0.834470076,1.756855733,1.364327416,-0.456117201,-1.960194598,,2.570867616,4.706398624,4.387944893,2.778506981,3.001650532,3.694797713,4.2544135,2.896290016,0.699065439,6.43724934,1.993792607,5.503086484,1.035537676,,6.048551092,3.175603839,3.785552076,1.498822355,2.821326978,1.010219868,0.015868589,0.678862732,-1.267047417,0.418027909,-1.267047417,-0.229804075,-0.308792486,-2.201356655,1.509995655,-2.653341779,,-2.201356655,-2.201356655
16,,ASIA,"Southern India (Madras charnockite), Howie 1955",65.54,0.77,15.46,1.95,3.13,4.88,0.04,1.39,3.26,3.43,4.64,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,65.7,0.8,15.5,2.0,3.1,4.9,0.0,1.4,3.3,3.4,4.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,,0.482749188,0.185120377,0.332894127,0.574268721,0.418073061,0.0,,,4.185719216,-0.258306191,2.741314616,0.670887945,1.144091577,1.589148019,-3.215817252,0.33236232,1.184785768,1.235618834,1.537772939,-1.269907103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,,North America,"Goldich, S. S., C. E. Hedge, et al. (1980). Archean rocks of the Granite Falls area, southwestern Minnesota. Selected studies of Archean gneisses and Lower Proterozoic rocks, southern Canadian Shield. G. B. Morey and G. N. Hanson, Geological Society of America Special Paper. 182: 19-43.",65.60,0.54,15.40,1.01,3.68,4.59,0.08,2.47,4.65,2.53,1.54,0.20,,,,,,,,,,54.5,366,,,,,300,,,,,,,,,,,,,,,,,,,,97.6,,67.2,0.6,15.8,1.0,3.8,4.7,0.1,2.5,4.8,2.6,1.6,0.2,,,,,,,,,,55.8,375.0,,,,,307.4,,,,,,,,,,,,,,,,,,,,,,49.0,,0.524531706,0.285144696,0.19638854,0.458654394,0.454257783,0.0,,,4.207880704,-0.591881131,2.758672518,0.034255339,1.32721776,1.547923124,-2.501423636,0.928523159,1.561172228,0.952524311,0.456087425,-1.585132904,,,,,,,,,,4.02250571,5.926938342,,,,,5.728087483,,,,,,,,,,,,,,,,,,
1-1 GN,,ASIA,"Stahle, H. J., M. Raith, et al. (1987). ""ELEMENT MOBILITY DURING INCIPIENT GRANULITE FORMATION AT KABBALDURGA, SOUTHERN INDIA."" Journal of Petrology 28(5): 803-834.",65.60,0.83,15.10,6.03,,5.43,0.10,1.61,4.17,4.43,1.75,0.26,,,96,,13,24,,,,32.0,142,72.00,359.00,,,215,56,133,,64,17.60,1.70,,3.00,17.30,3.10,9.00,6.40,0.90,,,,,,,99.3,,66.1,0.8,15.2,6.1,,5.5,0.1,1.6,4.2,4.5,1.8,0.3,,,96.7,,13.1,24.2,,,,32.2,143.0,72.5,361.6,,,216.6,56.4,134.0,,64.5,17.7,1.7,,3.0,17.4,3.1,9.1,6.4,0.9,,,,,,,,,34.6,,0.475428546,0.238230723,0.288153114,0.525867387,0.411733199,-0.1,,,4.190844107,-0.179061167,2.721963155,1.804015422,,1.698432659,-2.295316682,0.48350259,1.435184447,1.495667995,0.566884199,-1.339805237,,,4.571616602,,2.572217768,3.185322241,,,,3.473004314,4.963095469,4.28393453,5.8905908,,,5.377906439,4.032620102,4.897617539,,4.166151494,2.875167313,0.537896662,,1.1058807,2.857974913,1.138670523,2.204492988,1.863566401,-0.098092105,,,,,
MJ 178,,Europe,"Fowler, M. B. (1986). ""LARGE-ION LITHOPHILE ELEMENT CHARACTERISTICS OF AN AMPHIBOLITE FACIES TO GRANULITE FACIES TRANSITION AT GRUINARD BAY, NORTHWEST SCOTLAND."" Journal of Metamorphic Geology 4(3): 345-359.",65.69,0.51,15.26,4.55,,4.09,0.06,1.66,5.03,4.14,1.07,0.15,,,73,17,,22,,,,21.0,488,7.00,153.00,3.00,,496,,,,,,,,,,,,,,,,,0.60,0.19,,97.7,,67.3,0.5,15.6,4.7,,4.2,0.1,1.7,5.2,4.2,1.1,0.2,,,74.7,17.4,,22.5,,,,21.5,499.7,7.2,156.7,3.1,,507.9,,,,,,,,,,,,,,,,,0.6,0.2,,,,42.0,,0.476970592,0.282825134,0.246097319,0.484582614,0.413068649,-0.1,,,4.208582955,-0.649708305,2.748871274,1.538763481,,1.433180719,-2.789774469,0.530453851,1.639056232,1.444332036,0.091294897,-1.873483737,,,4.314095689,2.856849592,,3.114678702,,,,3.068158686,6.213951654,1.969546397,5.05407417,1.122248537,,6.230212175,,,,,,,,,,,,,,,,,-0.487189376,-1.637094959
76,metased,ASIA,Raith et al 1999 Nilgiri Hills enderbites,65.7,0.43,14.45,7.67,,6.90,0.07,3.5,3.16,3.36,1.16,0.18,,18,110,205,12,155,30,116,23,18,268,24.00,73.00,,,278,,,,,,,,,,,,,,,,12,,,,98.9,,66.4,0.4,14.6,7.8,,7.0,0.1,3.5,3.2,3.4,1.2,0.2,,18.2,111.2,207.3,12.1,156.7,30.3,117.3,23.3,18.2,270.9,24.3,73.8,,,281.1,,,,,,,,,,,,,,,,12.1,,,,,,47.5,,0.538061748,0.213236366,0.251423391,0.520454265,0.465975143,0.1,,,4.196043944,-0.833025052,2.681639433,2.048261634,,1.942678872,-2.648315018,1.263707987,1.161517046,1.222885993,0.159365024,-1.703853409,,2.901316777,4.711425385,5.333954998,2.495851669,5.054370136,3.4121424,4.76453521,3.146439235,2.901316777,5.601931999,3.188998849,4.30140446,,,5.638566132,,,,,,,,,,,,,,,,2.495851669,,
3018,,Antarctica,"Sheraton, J. W. and L. P. Black (1983). ""GEOCHEMISTRY OF PRECAMBRIAN GNEISSES - RELEVANCE FOR THE EVOLUTION OF THE EAST ANTARCTIC SHIELD."" Lithos 16(4): 273-296",65.70,1.30,12.88,2.63,4.29,6.66,0.15,1.08,3.39,2.98,4.18,0.42,,,52,10,,9,20,71,17,73.0,178,44.00,507.00,22.00,,2730,102,161,,,,,,,,,,,,,,19,,,,98.7,,66.5,1.3,13.0,2.7,4.3,6.7,0.2,1.1,3.4,3.0,4.2,0.4,,,52.7,10.1,,9.1,20.3,71.9,17.2,73.9,180.3,44.6,513.5,22.3,,2764.9,103.3,163.1,,,,,,,,,,,,,,19.2,,,,,,22.4,,0.455192931,0.216707604,0.331251039,0.558847505,0.394208642,-0.1,,,4.197814689,0.275080028,2.568391484,0.97969961,1.469002497,1.908305679,-1.884404221,0.089676805,1.233545685,1.104639064,1.44302701,-0.854784804,,,3.963959482,2.315300857,,2.209940341,3.008448037,4.275395641,2.845929108,4.303175205,5.194499314,3.796905398,6.241226767,3.103758217,,7.924772652,4.637688577,5.094120129,,,,,,,,,,,,,,2.957154743,,
JN 51,,S. America,"Sighinolfi, G. P., M. C. H. Figueredo, et al. (1981). ""GEOCHEMISTRY AND PETROLOGY OF THE JEQUIE GRANULITIC COMPLEX (BRAZIL) - AN ARCHEAN BASEMENT-COMPLEX."" Contributions to Mineralogy and Petrology 78(3): 263-271.",65.76,0.31,17.59,0.74,1.80,2.47,0.04,1.43,3.55,5.12,2.27,0.21,,7.7,40,34,,45,3,21,,50.7,541,14.40,235.00,,,779,,,,,,,,,,,,,,,,,,,,98.7,,66.6,0.3,17.8,0.7,1.8,2.5,0.0,1.4,3.6,5.2,2.3,0.2,,7.8,40.1,34.8,,45.2,3.0,21.6,,51.3,547.9,14.6,238.0,,,788.9,,,,,,,,,,,,,,,,,,,,,,50.8,,0.506553477,0.185048967,0.311552431,0.564829169,0.438688179,0.0,,,4.198632539,-1.158562193,2.879951347,-0.288484305,0.600407453,0.915158175,-3.206255037,0.370295232,1.279568392,1.645775227,0.83240062,-1.54802696,,2.053841117,3.691449906,3.550677353,,3.810354647,1.111233077,3.071327861,,3.938546699,6.306040067,2.679848995,5.472206302,,,6.670631834,,,,,,,,,,,,,,,,,,
5189,,Antarctica,"Sheraton, J. W. and K. D. Collerson (1984). ""GEOCHEMICAL EVOLUTION OF ARCHEAN GRANULITE-FACIES GNEISSES IN THE VESTFOLD BLOCK AND COMPARISONS WITH OTHER ARCHEAN GNEISS COMPLEXES IN THE EAST ANTARCTIC SHIELD."" Contributions to Mineralogy and Petrology 87(1): 51-64.",65.80,0.47,16.02,0.46,3.47,3.88,0.07,2.76,5.30,3.58,0.55,0.33,,,89,261,,42,21,65,18,5.0,454,11.00,125.00,4.00,,184,39,68,,,,,,,,,,,,,,16,13,,,98.8,,66.6,0.5,16.2,0.5,3.5,3.9,0.1,2.8,5.4,3.6,0.6,0.3,,,90.1,264.3,,42.5,21.3,65.8,18.2,5.1,459.7,11.1,126.6,4.1,,186.3,39.5,68.9,,,,,,,,,,,,,,16.2,,,,,,55.9,,0.501242917,0.300172706,0.201693855,0.452315313,0.434089099,0.0,,,4.19905779,-0.742584633,2.786275893,-0.764090838,1.256592546,1.369279815,-2.646822085,1.027668631,1.680144772,1.287800752,-0.585399049,-1.096224673,,,4.501074321,5.576958359,,3.75010757,3.056960389,4.186825222,2.90280971,1.621875864,6.13053515,2.410333224,4.840751689,1.398732313,,5.227373709,3.675999598,4.231945657,,,,,,,,,,,,,,2.785026674,,
4658,,Antarctica,"Sheraton, J. W. and L. P. Black (1983). ""GEOCHEMISTRY OF PRECAMBRIAN GNEISSES - RELEVANCE FOR THE EVOLUTION OF THE EAST ANTARCTIC SHIELD."" Lithos 16(4): 273-296",65.80,0.40,14.88,1.45,2.68,3.98,0.06,2.89,5.48,4.02,0.86,0.14,,,72,91,,54,21,42,16,6.0,412,13.00,97.00,3.00,,680,37,56,,,,,,,,,,,,,,8,12,,,98.5,,66.8,0.4,15.1,1.5,2.7,4.0,0.1,2.9,5.6,4.1,0.9,0.1,,,73.1,92.4,,54.8,21.3,42.6,16.2,6.1,418.2,13.2,98.5,3.0,,690.3,37.6,56.8,,,,,,,,,,,,,,8.1,,,,,,56.4,,0.462861805,0.307991135,0.232865362,0.464296265,0.400850082,-0.1,,,4.201584147,-0.901326423,2.714982338,0.386527865,1.000781103,1.397428846,-2.798446408,1.076220811,1.71606941,1.406246211,-0.135858581,-1.951148548,,,4.291630428,4.525823815,,4.003948355,3.059486747,3.752633927,2.787553031,1.806723778,6.035987658,2.579913666,4.589675287,1.113576598,,6.537057107,3.625882222,4.040316,,,,,,,,,,,,,,2.094405851,,
TNT-99/1,,ASIA,"Tomson, J.K., Rao, Y.J.B., Kumar, T.V. and Rao, J.M., 2006. Charnockite genesis across the Archaean-Proterozoic terrane boundary in the South Indian Granulite Terrain: Constraints from major-trace element geochemistry and Sr-Nd isotopic systematics. Gondwana Research, 10(1-2): 115-127.",65.81,0.67,14.08,6.65,,5.98,0.06,3.17,3.44,3.37,1.61,0.13,,,,,,,,,,56.00,341.00,23.20,139.10,6.70,,920.00,45.40,82.60,8.20,11.50,2.30,1.50,4.40,0.60,4.30,0.50,1.70,2.40,0.40,4.10,0.30,,17.00,1.60,,98.3,,66.9,0.7,14.3,6.8,,6.1,0.1,3.2,3.5,3.4,1.6,0.1,,,,,,,,,,57.0,346.8,23.6,141.5,6.8,,935.7,46.2,84.0,8.3,11.7,2.3,1.5,4.5,0.6,4.4,0.5,1.7,2.4,0.4,4.2,0.3,,17.3,1.6,,,,48.6,,0.513687318,0.226715286,0.263821454,0.520665113,0.444866267,0.0,,,4.203677197,-0.383572172,2.661660745,1.911522249,,1.805939486,-2.796505322,1.170636982,1.252376866,1.231818139,0.493139573,-2.023315434,,,,,,,,,,4.042257085,5.848787872,3.161057673,4.952098493,1.919012921,,6.841279064,3.832417499,4.430915075,2.121039549,2.45925243,0.849814517,0.422370502,1.498509935,-0.493920229,1.475520417,-0.676241786,0.547533645,0.892374132,-0.899385338,1.427892368,-1.18706741,,2.850118738,0.486909024
GD5,,ASIA,"Eastern Ghats, India, Kamineni & Rao, 1988 moved to post-Archean",65.91,0.69,15.06,1.34,3.6,4.81,0.06,1.63,3.94,3.54,2.61,0.22,16,10,68,16,6,10,30,40,16,84,240,,110,63,,1100,,,,,,,,,,,,,,,4.1,19,,,,98.5,,66.9,0.7,15.3,1.4,3.7,4.9,0.1,1.7,4.0,3.6,2.7,0.2,16.2,10.2,69.1,16.2,6.1,10.2,30.5,40.6,16.2,85.3,243.7,,111.7,64.0,,1117.1,,,,,,,,,,,,,,,4.2,19.3,,,,,,37.7,,0.491361767,0.232303811,0.280198075,0.525878958,0.425531772,0.0,,,4.203751772,-0.355602085,2.727503819,0.308131211,1.296395442,1.585270969,-2.79794912,0.504041612,1.38664232,1.279588324,0.974811818,-1.498666136,2.788050319,2.31804669,4.234969302,2.788050319,1.807221066,2.31804669,3.416658978,3.704341051,2.788050319,4.446278396,5.49610052,,4.715941963,4.158596323,,7.018527056,,,,,,,,,,,,,,,1.426448571,2.959900576,,
10-21,,Europe,"Rollinson 2012, Scourian granulites and gneiss",65.92,0.43,15.77,4.58,,4.12,0.07,2.18,5.07,4.27,0.85,0.1,,10,79,100,17,60,20,60,19,5,513,5.7,126,2.6,,525,15.5,28,3.06,12.5,2.17,0.85,1.62,0.21,1.18,0.22,0.63,0.56,0.09,2.7,0.08,6,0.29,0.07,,98.8,,66.7,0.4,16.0,4.6,,4.2,0.1,2.2,5.1,4.3,0.9,0.1,,10.1,80.0,101.2,17.2,60.7,20.2,60.7,19.2,5.1,519.3,5.8,127.6,2.6,,531.5,15.7,28.3,3.1,12.7,2.2,0.9,1.6,0.2,1.2,0.2,0.6,0.6,0.1,2.7,0.1,6.1,0.3,0.1,,,,48.5,,0.481638634,0.280246806,0.241175712,0.481995029,0.417111292,0.0,,,4.200705943,-0.831706013,2.770373458,1.533963055,,1.428380293,-2.64699598,0.791588934,1.635604875,1.463877884,-0.150254872,-2.290321036,,2.31484915,4.38171191,4.617434243,2.845477401,4.106608619,3.007996331,4.106608619,2.956703036,1.621701969,6.252539902,1.752730232,4.848545964,0.967775502,,6.27566232,2.753104081,3.344468567,1.130678973,2.537992701,0.786991225,-0.150254872,0.494690206,-1.548383691,0.177778496,-1.501863676,-0.449771403,-0.567554438,-2.395681552,1.00551583,-2.513464587,1.804023526,-1.225610299,-2.64699598
CAS-7,,ASIA,"Rosen, O.M., 1988. Plagiogneisses and metabasites. In: M.S. Markov, Editor, Archaean of the Anabar Shield and Problems of the Early Evolution of the Earth, Nauka, Moscow (1988), pp. 8–31",66.03,0.49,15.28,1.37,3.90,5.13,0.08,2.81,4.13,2.12,2.01,0.16,21.00,8.00,180.00,34.00,12.00,9.00,17.00,50.00,25.00,63.00,190.00,,180.00,,,660.00,,,,,,,,,,,,,,,,16.00,,,,98.2,,67.2,0.5,15.6,1.4,4.0,5.2,0.1,2.9,4.2,2.2,2.0,0.2,21.4,8.1,183.2,34.6,12.2,9.2,17.3,50.9,25.4,64.1,193.4,,183.2,,,671.8,,,,,,,,,,,,,,,,16.3,,,,,,49.4,,0.541086098,0.264213382,0.199105928,0.469648978,0.468594307,0.1,,,4.207838158,-0.695620914,2.744273757,0.332539713,1.378705527,1.653365876,-2.507999671,1.050913457,1.436006381,0.769145062,0.715863696,-1.81485249,3.062251411,2.097170515,5.210685824,3.544089498,2.502635623,2.214953551,2.850942318,3.929751979,3.236604798,4.1608637,5.264753046,,5.210685824,,,6.509968809,,,,,,,,,,,,,,,,2.790317696,,
2,,Europe,"Rollinson, H. R. and B. F. Windley (1980). ""AN ARCHEAN GRANULITE-GRADE TONALITE-TRONDHJEMITE-GRANITE SUITE FROM SCOURIE, NW SCOTLAND - GEOCHEMISTRY AND ORIGIN."" Contributions to Mineralogy and Petrology 72(3): 265-281.",66.07,0.48,16.90,3.57,,3.21,0.05,1.01,5.45,4.81,0.35,0.10,,,,,,10,,43,22,1.0,361,4.60,242.00,,,221,9,22,,,,,,,,,,,,,,5.0,,,,98.4,,67.1,0.5,17.2,3.6,,3.3,0.1,1.0,5.5,4.9,0.4,0.1,,,,,,10.2,,43.7,22.4,1.0,366.7,4.7,245.9,,,224.5,9.1,22.4,,,,,,,,,,,,,,5.1,,,,,,35.9,,0.485155889,0.282654971,0.236134982,0.478712926,0.420157325,0.0,,,4.206516112,-0.718167849,2.843114948,1.288366922,,1.182784159,-2.979930948,0.025751657,1.711416935,1.58649841,-1.034020799,-2.286783767,,,,,,2.318386419,,3.777001442,3.106843779,0.015801326,5.904679284,1.541857629,5.504739052,,,5.413964028,2.213025903,3.106843779,,,,,,,,,,,,,,1.625239238,,
103,metased,ASIA,Raith et al 1999 Nilgiri Hills enderbites,66.08,0.61,13.38,9.38,,8.44,0.09,3.75,3.09,2.87,1.25,0.1,,17,134,274,28,235,57,91,21,19,217,25.00,201.00,2.00,,286,,,,,,,,,,,,,,,,9,,,,99.7,,66.3,0.6,13.4,9.4,,8.5,0.1,3.8,3.1,2.9,1.3,0.1,,17.1,134.5,274.9,28.1,235.8,57.2,91.3,21.1,19.1,217.7,25.1,201.7,2.0,,287.0,,,,,,,,,,,,,,,,9.0,,,,,,44.2,,0.534208006,0.224354904,0.24228434,0.509388343,0.462637704,0.1,,,4.194270678,-0.490891773,2.597165604,2.241984312,,2.136401549,-2.40454106,1.325160389,1.13157564,1.057716579,0.2265481,-2.299180544,,2.836617893,4.901244349,5.616532655,3.335609059,5.462990063,4.046455817,4.514264055,3.047926987,2.947843528,5.383301902,3.222280374,5.306709457,0.696551729,,5.65939636,,,,,,,,,,,,,,,,2.200629126,,
