Sample,Pluton or Unit,Classification,Reference,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,MnO,P2O5,LOI,Sum,Cs,Rb,Ba,Th,U,Nb,Ta,La,Ce,Pb,Pr,Sr,Nd,Zr,Hf,Sm,Eu,Gd,Tb,Dy,Y,Ho,Er,Tm,Yb,Lu,Sc,V,Cr,Co,Ni,Ga
BUL-12,Bulai,Sanuk(granite),L2011,71.48,14.43,2.25,0.74,2.27,2.86,4.60,0.38,0.02,0.14,0.50,,0.3,95,1956,24.2,1.1,4.0,0.1,45.1,74.4,,7.62,504,26.0,205,5.0,3.46,1.97,2.24,0.24,1.06,4.9,0.17,0.40,0.05,0.39,0.05,1,28,,5,5,18
BUL-13,Bulai,Sanuk(granite),L2011,72.60,14.58,1.16,0.40,1.74,3.34,5.24,0.18,0.02,0.08,0.50,,0.4,196,897,6.2,0.9,3.6,0.2,28.4,42.2,,4.31,230,15.0,114,3.6,2.31,1.19,1.59,0.22,1.08,6.4,0.19,0.48,0.08,0.40,0.07,2,17,,2,2,21
BUL-26,Bulai,Sanuk(granite),L2011,74.36,13.54,1.15,0.38,1.52,2.60,5.84,0.21,0.01,0.07,0.20,,0.4,124,622,45.4,2.2,2.9,0.2,30.0,48.9,,5.01,214,15.6,131,4.2,2.14,0.85,1.30,0.13,0.72,3.6,0.11,0.28,0.05,0.26,0.05,-1,22,14,2,3,16
MAT-20,Matok,Sanuk(granite),L2014,73.81,12.78,2.46,0.50,1.18,3.47,4.49,0.37,0.03,0.13,0.50,,2.7,184,522,6.7,0.8,11.0,0.6,50.5,106.4,,12.50,169,43.2,208,6.2,6.46,1.02,5.06,0.82,4.23,22.0,0.78,2.23,0.35,2.07,0.31,4,27,,,,15
MAT-23,Matok,Sanuk(granite),L2014,74.22,12.93,2.12,0.45,1.09,3.26,4.82,0.38,0.02,0.13,0.40,,1.3,128,803,3.9,0.5,4.7,0.3,67.3,114.5,,12.69,208,41.1,266,6.8,4.90,1.35,3.16,0.42,2.06,10.6,0.35,0.97,0.15,0.89,0.14,2,24,,3,20,15
MAT-24,Matok,Sanuk(granite),L2014,73.73,13.01,2.23,0.55,1.35,3.44,4.35,0.47,0.03,0.19,0.40,,1.7,155,868,4.7,0.5,11.2,0.6,37.5,92.8,,9.09,237,31.8,280,7.0,5.48,1.26,4.25,0.67,3.68,18.6,0.66,1.90,0.27,1.73,0.23,4,27,,,,16
MAT-32,Matok,Sanuk(granite),L2014,74.75,12.85,1.80,0.30,0.82,3.63,4.88,0.29,0.03,0.10,0.40,,5.3,223,667,9.4,1.8,14.4,1.1,48.4,121.2,,13.66,146,49.5,230,7.3,8.67,1.15,7.14,1.21,7.03,40.5,1.43,4.07,0.64,3.97,0.58,4,23,,,,17
MAT-63,Matok,Sanuk(granite),L2014,73.64,13.31,2.07,0.42,1.03,3.66,4.58,0.37,0.03,0.19,0.50,,1.0,176,698,5.7,0.5,13.7,0.7,44.3,92.9,,11.06,173,41.3,245,6.9,6.49,0.91,4.84,0.79,4.42,23.0,0.85,2.37,0.38,2.14,0.30,3,37,144,3,11,17
MAT-65,Matok,Sanuk(granite),L2014,74.88,12.81,1.85,0.41,1.11,3.37,4.46,0.35,0.03,0.12,0.40,,0.8,115,1058,9.1,0.7,9.1,0.3,65.6,132.1,,13.95,221,49.7,293,7.3,6.28,1.32,3.84,0.51,2.42,11.8,0.43,1.09,0.17,0.96,0.15,2,40,137,4,8,15
DWK-03,Duiwelskloof,TTG,L2012,71.51,14.93,2.31,0.76,2.63,4.72,1.54,0.24,0.05,0.10,0.62,99.48,3.4,62,379,1.5,0.8,6.0,0.4,11.2,21.1,7.6,2.30,367,8.5,164,4.4,1.76,0.55,1.54,0.24,1.44,8.3,0.29,0.84,0.14,1.00,0.17,3,14,22,4,6,16
DWK-04,Duiwelskloof,TTG,L2012,70.73,15.73,1.48,0.54,2.39,6.30,1.10,0.23,0.02,0.10,0.32,99.03,10.7,71,237,2.9,1.2,4.5,0.3,16.7,32.8,15.2,3.74,639,14.0,97,2.8,2.46,0.67,1.74,0.23,1.01,5.0,0.17,0.47,0.06,0.35,0.05,3,16,17,3,6,22
96/204b,GHR,TTG,K2000,74.76,14.72,0.50,0.10,2.09,4.48,3.11,0.04,0.01,0.03,,100.60,,58,969,2.4,1.2,,,8.4,17.0,,,382,8.0,45,,1.67,0.55,1.40,0.20,,10.0,,,,0.62,0.09,,,,,,
96/210,GHR,TTG,K2000,67.40,16.38,3.83,1.33,4.22,4.60,1.28,0.51,0.04,0.19,,100.27,,52,421,3.5,0.9,5.0,,36.8,78.0,,,537,28.0,196,,4.51,1.32,3.90,0.50,,15.0,,,,1.30,0.19,,,,,,
96/211,GHR,TTG,K2000,73.83,14.83,1.21,0.47,2.22,4.65,2.06,0.15,0.03,0.07,,100.03,,69,434,4.2,1.1,9.0,,19.0,40.0,,,258,18.0,94,,2.81,0.75,2.50,0.50,,17.0,,,,2.00,0.26,,,,,,
96/228,GHR,TTG,K2000,72.66,15.32,1.30,0.39,2.00,5.38,2.18,0.21,0.02,0.08,,99.86,,63,623,5.8,1.9,5.0,,47.2,96.0,,,914,34.0,169,,5.26,1.37,3.90,0.40,,11.0,,,,0.73,0.10,,,,,,
96/239,GHR,TTG,K2000,70.11,15.98,1.91,0.75,2.11,5.90,1.96,0.36,0.02,0.14,,99.68,,74,521,4.8,0.8,7.0,,38.7,77.0,,,1021,30.0,240,,4.10,1.13,3.20,0.40,,11.0,,,,0.77,0.08,,,,,,
96/246,GHR,TTG,K2000,69.50,16.71,2.11,0.70,3.03,6.03,0.98,0.31,0.03,0.10,,100.02,,71,267,1.5,0.4,,,15.0,37.0,,,1014,15.0,147,,1.96,0.59,1.50,0.20,,6.0,,,,0.21,0.06,,,,,,
96/247,GHR,TTG,K2000,68.55,16.12,2.95,1.12,2.93,5.06,1.69,0.42,0.04,0.14,,100.09,,126,475,2.4,1.0,,,19.8,48.0,,,808,20.0,118,,3.51,1.17,2.90,0.50,,10.0,,,,0.81,0.08,,,,,,
HRG-1,GHR,TTG,L2012,71.95,15.38,1.39,0.60,2.95,5.40,0.99,0.25,0.02,0.12,0.77,99.89,5.9,58,304,2.1,0.3,1.2,0.0,12.2,28.7,8.3,3.12,558,11.3,140,3.5,1.79,0.66,1.13,0.14,0.54,2.5,0.09,0.23,0.03,0.17,0.03,1,15,5,3,5,17
TR 66,GHR,TTG,KR2000,71.28,15.49,1.40,0.43,1.95,6.90,1.20,0.14,0.02,0.06,0.55,,,24,609,,,4.0,,,,,,952,,93,,,,,,,4.0,,,,,,,17,20,,,21
96/201,GLD,TTG,K2000,72.74,14.43,1.20,0.32,0.91,5.10,3.10,0.28,0.03,0.09,,98.94,,202,714,5.9,1.1,6.0,,30.8,64.0,,,517,25.0,189,,3.06,0.83,2.50,0.30,,7.0,,,,0.44,0.06,,,,,,
96/202,GLD,TTG,K2000,72.95,14.88,1.52,0.40,2.19,5.79,1.08,0.21,0.01,0.06,,99.55,,43,293,4.9,0.6,5.0,,23.3,44.0,,,488,17.0,153,,2.48,0.79,2.10,0.20,,8.0,,,,0.40,0.07,,,,,,
96/233,GLD,TTG,K2000,74.84,13.95,0.70,0.23,1.15,5.61,1.68,0.09,0.01,0.02,,98.84,,59,519,2.0,0.4,,,10.5,17.0,,,376,6.0,123,,0.86,0.60,0.70,0.10,,,,,,0.20,0.03,,,,,,
LET-G2,GLD,TTG,L2012,70.86,15.54,1.88,0.78,2.06,5.00,3.35,0.25,0.02,0.15,0.56,100.61,1.9,73,1299,5.5,0.4,3.1,0.1,34.2,61.4,18.6,6.53,658,22.4,194,5.1,3.44,0.99,2.37,0.31,1.42,6.7,0.26,0.68,0.08,0.54,0.08,3,15,7,3,5,17
LET-G3,GLD,TTG,L2012,69.78,16.12,2.34,0.91,3.23,5.23,1.66,0.38,0.03,0.15,0.46,100.29,4.0,97,554,4.1,1.1,5.2,0.2,32.2,62.2,12.3,5.12,853,24.6,247,6.1,3.70,1.20,2.95,0.34,0.96,8.1,0.23,0.56,0.07,0.51,0.07,3,20,14,5,7,22
MAK-G2,GLD,TTG,L2012,71.67,15.55,1.68,0.46,2.07,6.18,1.45,0.21,0.03,0.09,0.22,99.69,4.3,48,289,2.9,1.4,6.5,0.3,20.7,38.2,18.0,4.11,558,14.6,87,2.5,2.20,0.65,1.49,0.18,0.87,4.5,0.16,0.42,0.06,0.37,0.06,2,16,11,3,4,22
TR 62,GLD,TTG,KR2000,71.45,14.12,1.17,0.57,2.21,4.89,1.75,0.25,0.03,0.13,0.67,,,54,325,,,6.0,,,,,,895,,168,,,,,,,9.0,,,,,,,20,16,,,17
T-11,Turfloop,TTG,H2000,71.90,15.50,1.60,0.51,1.78,5.47,1.49,0.22,0.02,0.08,1.05,,2.4,49,499,2.5,0.9,3.3,0.3,17.9,32.2,9.5,3.50,565,13.0,120,3.1,2.50,0.76,1.67,0.22,1.16,5.8,0.20,0.48,0.07,0.42,0.06,,,,,,
T-12,Turfloop,TTG,H2000,66.70,15.90,3.78,1.55,3.84,4.79,1.61,0.39,0.05,0.18,1.00,,0.7,40,701,3.4,1.0,4.8,0.3,35.8,67.1,10.5,7.40,990,28.5,144,3.3,5.40,1.64,3.44,0.45,2.22,10.6,0.37,0.94,0.12,0.74,0.11,,,,,,
T-1A,Turfloop,TTG,H2000,72.50,15.20,1.40,0.50,2.00,5.30,1.90,0.18,nd,0.10,1.10,,2.5,77,608,4.0,1.3,4.4,0.4,19.4,33.2,14.4,3.40,423,12.1,114,3.0,2.30,0.66,1.58,0.23,1.13,5.6,0.20,0.46,0.06,0.37,0.05,,,,,,
T-2,Turfloop,TTG,H2000,68.50,16.60,2.41,1.20,2.46,5.42,1.99,0.38,0.03,0.19,0.45,,6.5,118,674,7.0,1.5,7.5,0.4,38.3,67.2,21.4,7.10,364,24.8,243,5.2,4.60,0.87,3.07,0.45,2.40,12.2,0.44,1.18,0.12,1.15,0.17,,,,,,
TUR-02,Turfloop,TTG,L2012,71.51,15.20,1.48,0.50,2.02,5.41,1.61,0.22,0.02,0.10,1.62,99.78,2.4,51,530,3.8,0.8,3.5,0.3,19.8,37.0,12.0,4.09,533,15.3,190,5.0,2.78,0.80,2.05,0.26,1.28,6.3,0.22,0.57,0.08,0.50,0.07,3,15,9,2,4,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"References : H2000 (Henderson et al., 2000), K2000 (Kreissig et al., 2000), KR2000 (Kröner et al., 2000), L2012 (Laurent, 2012), L2011 (Laurent et al., 2011), L2014 (Laurent et al., 2014), JFM (unpublished data of J.-F. Moyen).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHR = Goudplaats-Hout River gneiss unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLD = Groot-Letaba Duiwelskloof gneiss unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
