Archean/ Proterozoic,Reference,Sample #,Craton/Orogenic Belt,Detailed Location,"Lithology, mineralogy, or other notes (if available)",SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,B2O3,SrO,BaO,Total,,FeO+MgO+TiO2,Mg#,FeO/(FeO+MgO),MALI,ASI,Al2O3/TiO2,CaO/Na2O,Rb/Sr,Rb/Ba,,Na,K,Ca,Al,Si,M,ln(Dzrc-melt),"Zrc. Sat. T (Miller et al., 2003) - ºC","Zrc. Sat. T (Boehnke et al., 2013) - ºC",,S,F,B,Sn,Li,Be,Cs,Rb,Sr,Ba,Ta,Th,U,Pb,Zr,Hf,Nb,Y,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Mo,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
A,"Mulja, T. 1995. PhD Dissertation, McGill University.",29,"Superior Province, Quebec",Preissac,Two mica monzogranite,75.89783823,0.111168605,14.55298097,0.827498466,0.03031871,0.060637421,0.717542811,3.840369977,3.941432345,0.020212474,,,,,100,,0.999304491,11.55369888,0.931725064,7.06425951,1.298011679,130.9090909,0.186842105,1.017647059,0.350912779,,0.123922878,0.083682215,0.012794986,0.285464515,1.263069366,0.646755339,8.592542629,793.6459244,772.9258945,,,,,,131,,,486,110,360,6.6,14,,,92,2.8,21,25,,,,,,,,,,24,41,,16,2,0.3,,2,,0.9,,0.8,0.8,0.1
A,"Mulja, T. 1995. PhD Dissertation, McGill University.",902,"Superior Province, Quebec",Preissac,Two mica monzogranite,75.35010257,0.110927614,14.19873453,0.961809773,0.040337314,0.231939556,0.80674628,4.003478416,4.275755285,0.020168657,,,,,100,,1.304676942,30.06436351,0.805704975,7.472487421,1.190861561,128,0.201511335,1.017647059,0.350912779,,0.129186138,0.090780367,0.014385633,0.278515781,1.253954112,0.712213637,8.971196479,756.6603702,725.9244331,,,,,,,,,521,112,392,,,,,63,,17,13,,,,,,,,,,,,,,—,,,,,,,,,
A,"Mulja, T. 1995. PhD Dissertation, McGill University.",903,"Superior Province, Quebec",Preissac,Two mica monzogranite,75.35549074,0.11087619,14.15183373,0.997641784,0.030238961,0.251991341,0.856770561,4.031861463,4.183056268,0.030238961,,,,,100,,1.360509316,31.04760924,0.798347742,7.358147169,1.188947179,127.6363636,0.2125,1.017647059,0.350912779,,0.130102016,0.088812235,0.015277649,0.277595797,1.25404378,0.716625003,8.987196821,755.0392777,723.8434528,,,,,,,,,483,111,324,,,,,62,,16,12,,,,,,,,,,,,,,,,,,,,,,,
A,"Mulja, T. 1995. PhD Dissertation, McGill University.",LC-5*,"Superior Province, Quebec",Preissac,Two mica monzogranite,75.10579128,0.090367931,14.3584601,0.605317133,0.050204406,0.17069498,0.602452871,4.839704732,4.14688393,0.030122644,,,,,100,,0.866380044,33.45295086,0.780035676,8.384135791,1.107772043,158.8888889,0.124481328,1.017647059,0.350912779,,0.156169885,0.088044245,0.01074274,0.281648884,1.249888355,0.75476484,9.163087487,738.2468271,702.6561567,,,,,,63,,,286,72,375,,,,,52,,23,7,,,,,,,,,,,,,,,,,,,,,,,
A,"Mulja, T. 1995. PhD Dissertation, McGill University.",LC-5*,"Superior Province, Quebec",Preissac,Two mica monzogranite,74.8394177,0.110649677,14.68622982,0.606413139,0.040236246,0.20118123,0.603543691,4.677463606,4.194628653,0.040236246,,,,,100,,0.918244046,37.16253658,0.75088827,8.268548568,1.153199011,132.7272727,0.129032258,1.017647059,0.350912779,,0.150934611,0.089057933,0.010762191,0.288078262,1.245455445,0.728888537,8.909638586,760.5706203,730.1105681,,,,,,81,,,320,85,377,,,,,67,,31,6,,,,,,,,,,,,,,,,,,,,,,,
A,"Mulja, T. 1995. PhD Dissertation, McGill University.",320,"Superior Province, Quebec",Preissac,Muscovite monzogranite,76.26145927,0.040291353,14.44445022,0.480356941,0.130946899,0.010072838,0.221602444,4.411903204,3.978771155,0.020145677,,,,,100,,0.530721133,3.603439061,0.979461202,8.169071915,1.230193973,358.5,0.050228311,1.017647059,0.350912779,,0.142365383,0.084474971,0.003951541,0.283335626,1.26912064,0.65281386,9.476745046,720.5613611,684.5903129,,,,,,3,,,,10.2,470,7.675,6.95,,,38,2.204,34,15,,,,,,,,,,3.18,10.31,0.98,3.6,1.54,0.044,2.065,0.398,2.409,0.414,1.149,0.17,51,0.108
A,"Mulja, T. 1995. PhD Dissertation, McGill University.",428,"Superior Province, Quebec",Preissac,Muscovite monzogranite,76.0823992,0.030303664,14.78818806,0.290844062,,0.131315878,0.434352518,4.333423959,3.868767777,0.040404885,,,,,100,,0.452463604,44.59429888,0.688942827,7.767839218,1.268007971,488,0.1002331,1.017647059,0.350912779,,0.139832977,0.082139443,0.00774523,0.290078228,1.266140776,0.646544771,9.285689809,735.8249602,702.9325265,,,,,,,,,,6,441,,,,,46,,32,21,,,,,,,,,,,,,,,,,,,,,,,
A,"Mulja, T. 1995. PhD Dissertation, McGill University.",434,"Superior Province, Quebec",Preissac,Muscovite monzogranite,76.25553152,0.030100868,14.49858461,0.406262381,,,0.571916486,4.264289592,3.933180047,0.04013449,,,,,100,,0.436363249,,,7.625553152,1.234562724,481.6666667,0.134117647,1.017647059,0.350912779,,0.137602117,0.083507007,0.010198226,0.284397501,1.269021992,0.669163487,9.125347159,747.0857737,715.7385241,,,,,,,,,,11,489,,,,,54,,42,36,,,,,,,,,,,,,,,,,,,,,,,
A,"Mulja, T. 1995. PhD Dissertation, McGill University.",435A,"Superior Province, Quebec",Preissac,Muscovite monzogranite,76.29859717,0.019997011,14.58781985,0.224911387,,0.049992529,0.379943217,4.729293207,3.6694516,0.039994023,,,,,100,,0.294900927,28.37922462,0.818145447,8.01880159,1.210702382,729.5,0.080338266,1.017647059,0.350912779,,0.152607073,0.077907677,0.006775022,0.286147898,1.269738678,0.671738482,8.172688783,830.0112718,817.0250546,,,,,,,,,,8,596,,,,,140,,42,16,,,,,,,,,,,,,,,,,,,,,,,
A,"Mulja, T. 1995. PhD Dissertation, McGill University.",439,"Superior Province, Quebec",Preissac,Muscovite monzogranite,75.42780682,0.050231624,14.93888502,0.46101359,,0.170787522,0.522408891,4.269688053,4.11899318,0.040185299,,,,,100,,0.682032736,39.77372461,0.729681511,7.866272341,1.254436908,297.4,0.122352941,1.017647059,0.350912779,,0.137776317,0.087452085,0.009315422,0.29303423,1.255247243,0.66296652,9.400759139,725.7441946,690.4527101,,,,,,,,,,10,478,,,,,41,,16,36,,,,,,,,,,,,,,,,,,,,,,,
