Sample,suite,Location,Rock type,unit,Reference,Age,Age2se,Sm,Nd,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144 2se,eNd,TDM,,,Pb206_204,Pb207_204,Pb208_204,Mineral,Easting,Northing,UTM,Easting_for_R,"These Lat longs are from an online coversion tool, might not be exactly accurate",Latitude,Longitude,Latitude,,,Longitude,,,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3t,FeO,Fe2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,S,F,Cl,LOI,sum,Li,Rb,Cs,Be,Sr,Ba,Sc,Y,Zr,Hf,V,Nb,Ta,Cr,Mo,W,Co,Ni,Cu,Ag,Zn,Cd,Ga,In,Tl,Ge,Sn,Pb,As,Sb,Bi,Se,Te,Br,I,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,U
D072C-87,Olga,,,CVB/Yellowknife Supergroup,Bill Davis email ,,,,,,,,,,,,,,,,464000,7296000,12,1464000,,65.78232425,-111.7864917,,,,,,,,,73.51,0.08,15.67,,1.05,,,0.02,0.41,2.14,5.33,1.77,0.02,,,,,,,,,49,,,536,707,,2,83,,7,1,,,,,,,,,24,,19,,,,,,,,,,,,,3.49,7.04,0.89,3.64,0.78,0.23,0.61,0.09,0.46,0.1,0.24,0.03,0.2,0.03,0.31,
D077-88,Yamba,,,Yamba/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,472539,7230937,12,1472539,,65.20058199,-111.5867455,,,,,,,,,75.12,0.16,13.68,,1.07,,,0.02,0.24,1.08,3.57,5,0.04,,,,,,,,,189,,,67,465,,25,101,,8,9.9,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,27,
D078A-88,Yamba,,,Yamba/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,472035,7230058,12,1472035,,65.19265312,-111.5973358,,,,,,,,,74.29,0.2,13.88,,1.38,,,0.01,0.3,1.2,3.34,5.35,0.04,,,,,,,,,186,,,85,680,,23,143,,10,10.4,,,,,,,,,,,18,,,,,,,,,,,,,54.58,103.05,10.55,35.87,6.04,0.46,4.48,0.76,4.25,0.82,2.11,0.27,1.73,0.25,43.56,
D081-87,Contwoyto,,,Contwoyto/undivided,Bill Davis email ,,,,,,,,,,,,,,,,455148,7257707,12,1455148,,65.43882925,-111.9670503,,,,,,,,,74.58,0.04,14.92,,0.77,,,0.02,0.22,0.7,3.99,4.52,0.23,,,,,,,,,207,,,74,290,,11,41,,,9.9,,,,,,,,,20,,18,,,,,,,,,,,,,6.22,12.59,1.46,5.32,1.47,0.19,1.52,0.28,1.52,0.26,0.61,0.08,0.49,0.08,4.93,
D081-88,Yamba,,,Yamba/SE Concession Pluton,Bill Davis email ,,,,,,,,,,,,,,,,467700,7232800,12,1467700,,65.21685739,-111.6905651,,,,,,,,,70.16,0.24,16.6,,1.82,,,0.02,1.01,1.32,3.21,5.54,0.07,,,,,,,,,108,,,457,2357,,8,141,,44,4.9,,29,,,,8,,,17,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
D095-88,Yamba,,,Yamba/SE Concession Pluton,Bill Davis email ,,,,,,,,,,,,,,,,468923,7231345,12,1468923,,65.20392104,-111.6640925,,,,,,,,,76.55,0.04,13.31,,0.35,,,0.01,0.08,0.78,2.86,5.98,0.04,,,,,,,,,157,,,115,804,,6,26,,,2,,,,,,,,,,,13,,,,,,,,,,,,,8.19,13.43,1.39,4.76,1.06,0.34,0.66,0.1,0.58,0.14,0.36,0.05,0.3,0.04,4.64,
D103-88,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,465900,7236100,12,1465900,,65.24515221,-111.7298177,,,,,,,,,54.56,1.08,19.95,,6.81,,,0.08,3.97,6.57,4.07,2.53,0.38,,,,,,,,,76,,,1321,888,20,28,329,,150,13.9,,46,,,,22,,,105,,30,,,,,,,,,,,,,84.86,175.95,22.46,90.09,15.57,3.49,10.5,1.35,6.84,1.2,2.93,0.35,2.31,0.32,15.19,
D104-88,Siege,,,Siege Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,468500,7242900,12,1468500,,65.3075507,-111.6757758,,,,,,,,,71.96,0.16,16.45,,1.22,,,0.02,0.41,2.79,5.52,1.44,0.02,,,,,,,,,31,,,512,674,,,101,,13,1.7,,,,,,,,,11,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D105-88,Concession,,,Concession/undivided,Bill Davis email ,,,,,,,,,,,,,,,,469700,7240000,12,1469700,,65.2805145,-111.6493549,,,,,,,,,61.94,0.65,16.55,,5.05,,,0.08,3.62,5.22,4.6,2.01,0.27,,,,,,,,,73,,,951,993,16,18,190,,138,9.5,,84,,,,30,4,,72,,25,,,,,,,,,,,,,56.53,117.08,14.27,55.77,9.61,2.41,6.38,0.81,4.1,0.71,1.88,0.26,1.59,0.25,8.16,
D107-89,Contwoyto,,,Contwoyto/undivided,Bill Davis email ,,,,,,,,,,,,,,,,566586,7211475,12,1566586,,65.02041992,-109.5868121,,,,,,,,,74.6,0.07,13.84,,1.3,,,0.02,0.43,1.18,3.58,4.87,0.1,,,,,,,,,130,,,184,983,,4,147,,,6.3,,,,,,,,,34,,19,,,,,18,,,,,,,,,,,,,,,,,,,,,,11,4
D108-88,Concession,,,Concession/undivided,Bill Davis email ,,,,,,,,,,,,,,,,469500,7241500,12,1469500,,65.29395353,-111.653974,,,,,,,,,65.02,0.61,16.18,,4.52,,,0.07,2.87,4.3,4.16,2.08,0.18,,,,,,,,,115,,,610,672,12,18,166,,95,10.6,,42,,,,10,,,67,,23,,,,,,,,,,,,,47.53,97.44,11.53,45.51,7.81,1.56,5.14,0.73,3.78,0.67,1.73,0.23,1.41,0.23,9.99,
D110-88,Concession,,,Concession/Wolverine Monzogranite,Bill Davis email ,,,,,,,,,,,,,,,,468300,7333800,12,1468300,,66.12187628,-111.7017955,,,,,,,,,66.94,0.57,16.48,,3.79,,,0.05,1.82,3.87,4.42,1.84,0.21,,,,,,,,,75,1,,672,328,8,8,165,,74,6.7,,,,,,,,,61,,25,,,,,,,,,,,,,45.81,92.85,10.91,41.21,6.22,1.32,3.19,0.39,1.72,0.28,0.69,0.08,0.48,0.07,5.72,
D114-87,Yamba,,,Yamba/undivided,Bill Davis email ,,,,,,,,,,,,,,,,473300,7254000,12,1473300,,65.40756533,-111.5749793,,,,,,,,,70.63,0.53,14.61,,2.82,,,0.02,0.72,1.5,3.03,5.89,0.24,,,,,,,,17,207,0.8,,120,1090,,18,408,,26,12.3,,,,,,,,,53,,19,,,,,36,,,,,,,,122.87,250.94,27.21,95.15,14.84,0.95,10.62,0.97,4.05,0.67,1.51,0.19,1,0.16,120.02,3.97
D114-89,Contwoyto,,,Contwoyto/undivided,Bill Davis email ,,,,,,,,,,,,,,,,579800,7227400,12,1579800,,65.16033132,-109.297395,,,,,,,,,74.15,0.12,14.41,,0.9,,,0.01,0.31,0.66,3.51,5.66,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D117-88,Yamba,,,Yamba/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,488500,7216000,12,1488500,,65.06750353,-111.2444856,,,,,,,,,72.95,0.28,13.66,,2.51,,,0.02,0.51,1.17,2.76,6.05,0.08,,,,,,,,,198,,,101,909,,23,302,,27,12.2,,,,,,,,,26,,18,,,,,,,,,,,,,119.23,215.41,22.94,78.14,11.49,0.62,7.1,0.87,4.33,0.74,1.67,0.22,1.4,0.2,85.17,
D119-87,Siege,,,Siege Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,471300,7256600,12,1471300,,65.43072203,-111.6185957,,,,,,,,,73.01,0.04,15.68,,0.93,,,0.02,0.36,2.34,5.41,2.16,0.05,,,,,,,,,41,,,548,984,,,83,,,0.8,,,,,,,,,18,,17,,,,,8,,,,,,,,3.83,6.71,0.71,2.58,0.54,,0.39,0.05,0.23,0.04,0.13,0.02,0.14,0.03,0.41,
D119-88,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,492711,7211922,12,1492711,,65.02990535,-111.1547405,,,,,,,,,57.4,0.85,16.47,,6.59,,,0.09,6.3,6.18,2.85,2.91,0.35,,,,,,,,,105,,,696,1105,21,23,165,,156,9,,232,,,,94,,,74,,23,,,,,,,,,,,,,48.48,102.1,13.32,54.51,10.43,2.42,7.83,1.12,5.85,1.04,2.64,0.35,2.55,0.34,8.6,
D121A-88,Concession,,,Concession/undivided,Bill Davis email ,,,,,,,,,,,,,,,,496000,7211000,12,1496000,,65.02168856,-111.0848911,,,,,,,,,64.8,0.69,17.37,,4.2,,,0.05,2.02,3.98,4.5,2.08,0.3,,,,,,,,,77,,,745,507,10,10,151,,92,7.7,,10,,,,,,,70,,24,,,,,,,,,,,,,68.77,143.54,17.41,68.51,9.85,1.96,5.21,0.5,2.34,0.37,0.62,0.08,0.41,0.05,5.79,
D123-88,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,493872,7212633,12,1493872,,65.03630832,-111.1301244,,,,,,,,,55.01,0.82,21.74,,5.5,,,0.05,2.74,4.22,5.93,3.2,0.77,,,,,,,,,114,,,832,,,29,122,,,11,,,,,,,,,,,,,,,,,,,,,,,,19.92,47.41,6.51,26.78,6.06,1.59,5.45,0.95,5.47,0.99,2.76,0.36,2.18,0.31,0.24,
D127-87,Concession,,,Concession/Southern Diorite,Bill Davis email ,,,,,,,,,,,,,,,,460504,7257922,12,1460504,,65.44031832,-111.8515984,,,,,,,,,59.43,0.66,16.73,,5.89,,,0.1,4.17,5.77,4.35,2.42,0.47,,,,,,,,46.6,69,2.5,,1144,1100,15,21,150,,147,5.5,,40,,,,24,33,,77,,20,,,,,15,,,,,,,,63.44,140.92,17.56,71.2,12.22,3.29,10.4,1.01,4.73,0.83,1.93,0.25,1.5,0.25,8.31,2.24
D128A-87,Contwoyto,,,Contwoyto Monzogranite,Bill Davis email ,,,,,,,,,,,,,,,,481116,7291586,12,1481116,,65.74532841,-111.4119685,,,,,,,,,75.69,0.08,13.96,,0.4,,,0.02,0.07,0.63,4.59,4.25,0.28,,,,,,,,,280,,,39,153,,7,24,,,5,,,,,,,,,14,,17,,,,,,,,,,,,,2.63,6,0.77,2.94,0.79,0.13,0.66,0.11,0.56,0.1,0.29,0.04,0.35,0.05,1.04,
D132-88,Yamba,,,Yamba/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,474616,7218075,12,1474616,,65.08534801,-111.5400196,,,,,,,,,72.28,0.36,14.17,,2.58,,,0.03,0.84,1.3,3.05,5.35,0.04,,,,,,,,,223,,,137,786,4,31,258,,42,18.1,,16,,,,,,,34,,19,,,,,,,,,,,,,107.63,206.99,23.17,79.49,13.6,0.96,9.92,1.4,6.92,1.18,2.43,0.28,1.71,0.24,74.84,
D134-88,Yamba,,,Yamba/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,469884,7218016,12,1469884,,65.08442185,-111.6406685,,,,,,,,,75.65,0.16,13.11,,1.28,,,0.01,0.33,0.85,2.96,5.63,0.02,,,,,,,,,209,,,70,554,,30,126,,9,12.7,,,,,,,,,10,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,43,
D135-88,Yamba,,,Yamba/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,470310,7218108,12,1470310,,65.08528578,-111.6316263,,,,,,,,,74.29,0.24,13.82,,1.68,,,0.02,0.36,1.14,3.29,5.13,0.02,,,,,,,,,185,,,80,688,,18,176,,16,14.1,,,,,,,,,16,,17,,,,,,,,,,,,,67.12,128.65,13.13,44.09,7.26,0.54,5.54,0.84,4.23,0.72,1.63,0.18,1.23,0.18,58.98,
D136-88,Siege,,,Siege Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,465511,7244014,12,1465511,,65.31724408,-111.7401737,,,,,,,,,72.52,0.16,16.1,,1.01,,,0.01,0.4,3.26,5.34,1.2,,,,,,,,,,37,,,538,337,,,88,,10,1.1,,,,,,,,,,,18,,,,,,,,,,,,,3.1,5.37,0.54,1.97,0.35,0.15,0.21,0.03,0.18,0.04,0.14,0.02,0.13,0.02,0.5,
D138-88,Concession,,,Concession/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,475012,7311856,12,1475012,,65.9256196,-111.5489575,,,,,,,,,69.89,0.41,14.69,,4.18,,,0.06,1.52,3.59,4.23,1.34,0.09,,,,,,,,,61,,,208,364,7,13,138,,79,7.7,,9,,,,,,,37,,21,,,,,,,,,,,,,24.03,45.27,4.67,16.57,2.79,0.75,2.28,0.37,2.06,0.42,1.06,0.16,1,0.17,6.95,
D142-88,Concession,,,Concession/undivided,Bill Davis email ,,,,,,,,,,,,,,,,501000,7216500,12,1501000,,65.07106038,-110.9787379,,,,,,,,,60.95,0.69,16.94,,5.18,,,0.08,3.45,5.15,4.54,2.7,0.31,,,,,,,,,93,,,997,1181,15,20,231,,116,8.5,,28,,,,12,37,,65,,23,,,,,,,,,,,,,69.73,147.35,18.35,72.07,12.7,3.03,8.28,1.03,4.84,0.87,2.01,0.26,1.75,0.26,10.53,
D145-88,Concession,,,Concession/undivided,Bill Davis email ,,,,,,,,,,,,,,,,502200,7213800,12,1502200,,65.04682865,-110.9532659,,,,,,,,,59.74,0.95,17.26,,7.1,,,0.11,4.34,5.71,1.3,3.08,0.41,,,,,,,,,132,,,743,987,21,22,145,,173,8.7,,38,,,,4,,,94,,23,,,,,,,,,,,,,32.81,72.52,9.16,38.68,7.32,1.76,5.52,0.78,4.41,0.88,2.21,0.34,1.96,0.32,4.39,
D150-87,Concession,,,Concession Pluton,Bill Davis email ,,,,,,,,,,,,,,,,467300,7288500,12,1467300,,65.71539509,-111.712546,,,,,,,,,57.08,0.82,16.56,,7.9,,,0.13,4.68,6.17,3.62,2.66,0.37,,,,,,,,,68,,,1179,1002,24,19,160,,224,6,,46,,,,14,32,,83,,23,,,,,,,,,,,,,45.74,102.31,12.96,53.43,9.35,2.19,6.41,0.79,4,0.76,1.92,0.26,1.76,0.26,7.17,
D151-1-8,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,465744,7288179,12,1465744,,65.71235335,-111.7463654,,,,,,,,,43.86,1.58,11.09,,14.02,,,0.19,14.15,11.36,1.38,1.85,0.52,,,,,,,,73.4,46,5.3,,145,,,36,80,,,7,,,,,,,,,,,,,,,,4,,,,,,,,27.58,90.24,15.03,77,17.42,3.96,13.83,1.64,,,,,,,1.39,0.33
D151-2-8,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,465744,7288179,12,1465744,,65.71235335,-111.7463654,,,,,,,,,46.27,0.71,6.07,,12.92,,,0.17,24.13,8.23,0.38,1.08,0.04,,,,,,,,,46,,,121,132,54,12,40,,215,2.4,,379,,,,233,,,92,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D152B-87,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,465523,7287981,12,1465523,,65.71055347,-111.7511284,,,,,,,,,48.63,1.03,15.53,,11.1,,,0.17,7.92,10.3,2.74,2.02,0.57,,,,,,,,,71,,,1388,1233,39,23,86,,370,2.9,,118,,,,39,111,,100,,22,,,,,,,,,,,,,40.04,96.74,13.26,58.3,11.37,2.47,8.37,0.98,,,,,,,0.55,
D153-89,Yamba,,,Yamba/Southern Diorite,Bill Davis email ,,,,,,,,,,,,,,,,559914,7226569,12,1559914,,65.15709218,-109.7218899,,,,,,,,,72.8,0.24,14.82,,1.53,,,0.02,0.54,0.79,3.49,5.61,0.15,,,,,,,,,252,,,136,596,,2,137,,9,10.7,,,,,,,,,48,,23,,,,,34,,,,,,,,32.43,77.42,9.8,37.14,8.03,0.54,4.57,0.44,1.53,0.21,0.5,0.06,0.26,0.05,28.43,3.05
D154-88,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.72,0.53,16.67,,3.28,,,0.04,1.63,3.44,4.48,1.99,0.22,,,,,,,,,128,,,696,365,7,5,145,,74,5.3,,8,,,,,,,60,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
D154A-87,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,463231,7287674,12,1463231,,65.70754547,-111.8009718,,,,,,,,,43.54,1.49,11.56,,13.1,,,0.2,12.84,12.9,1.7,1.51,1.18,,,,,,,,57.8,22,5.7,,714,377,43,40,128,,434,7.9,,226,,,,96,,,136,,22,,,,,3,,,,,,,,73.31,196.35,27.62,128.58,24.54,5.78,19.05,2.16,,,,,,,3.25,0.63
D154B-87,Concession,,,Concession Pluton,Bill Davis email ,,,,,,,,,,,,,,,,463231,7287674,12,1463231,,65.70754547,-111.8009718,,,,,,,,,53.35,0.94,16,,8.26,,,0.13,6.38,7.67,4.32,2.33,0.61,,,,,,,,61.2,62,10.1,,1535,1173,24,22,143,,231,6.6,,113,,,,75,54,,97,,23,,,,,9,,,,,,,,70.8,159.02,19.71,82.82,14.96,3.59,11.98,1.22,5.65,0.95,2.18,0.28,1.64,0.24,1.93,0.4
D155-87,Concession,,,Concession Pluton,Bill Davis email ,,,,,,,,,,,,,,,,463193,7286837,12,1463193,,65.70003246,-111.801567,,,,,,,,,65.05,0.4,16.09,,3.96,,,0.07,2.92,4.19,4.72,2.43,0.16,,,,,,,,35.6,56,2.2,,1081,1014,11,9,162,,94,4.8,,65,,,,30,,,51,,21,,,,,9,,,,,,,,32.9,68.77,8.02,30.87,5.09,1.03,4.27,0.4,1.99,0.37,0.94,0.13,0.89,0.14,7.02,1.83
D156-87,Concession,,,Concession Pluton,Bill Davis email ,,,,,,,,,,,,,,,,466998,7287872,12,1466998,,65.70973039,-111.7189696,,,,,,,,,64.85,0.49,15.96,,4.33,,,0.07,3.1,4.05,4.58,2.4,0.17,,,,,,,,,64,,,1050,1276,11,11,156,,102,5.1,,89,,,,39,,,48,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D157-88,Concession,,,Concession/undivided,Bill Davis email ,,,,,,,,,,,,,,,,459100,7228400,12,1459100,,65.17529661,-111.8730547,,,,,,,,,65.54,0.41,17.15,,4.17,,,0.04,1.85,3.94,4.81,1.85,0.25,,,,,,,,,76,,,603,280,3,7,185,,78,13.1,,7,,,,,,,72,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
D161-89,Concession,,,Concession/undivided,Bill Davis email ,,,,,,,,,,,,,,,,517000,7245000,12,1517000,,65.32633395,-110.6350456,,,,,,,,,61.64,0.7,16.64,,5.21,,,0.08,2.95,3.53,3.74,5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D162-88,Yamba,,,Yamba/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,462193,7219885,12,1462193,,65.10040084,-111.8047708,,,,,,,,,75.55,0.2,13.27,,1.27,,,0.01,0.28,0.86,3.43,5.08,0.05,,,,,,,,,184,,,63,446,,25,124,,7,12.2,,,,,,,,,11,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,34,
D164-88,Yamba,,,Yamba/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,463292,7216757,12,1463292,,65.07246071,-111.7805572,,,,,,,,,74.21,0.28,13.77,,1.65,,,0.02,0.39,1.11,3.03,5.48,0.05,,,,,,,,,169,,,100,785,,13,183,,12,19.4,,,,,,,,,12,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,59,
D167-88,Concession,,,Concession/undivided,Bill Davis email ,,,,,,,,,,,,,,,,460095,7214648,12,1460095,,65.05204228,-111.8478778,,,,,,,,,67.1,0.66,16.62,,3.5,,,0.05,1.79,3.65,4.62,1.79,0.24,,,,,,,,,104,,,622,467,6,10,150,,81,8.4,,11,,,,,,,62,,26,,,,,,,,,,,,,41.05,86.1,10.81,43.21,7.25,1.35,4.34,0.56,2.71,0.47,1.1,0.14,1.04,0.15,6.93,
D168-88,Concession,,,Concession/undivided,Bill Davis email ,,,,,,,,,,,,,,,,460483,7213137,12,1460483,,65.03853264,-111.8392085,,,,,,,,,65.25,0.61,16.82,,4.2,,,0.07,2.17,3.85,4.36,2.4,0.27,,,,,,,,,165,,,536,221,10,20,182,,107,13.4,,27,,,,7,35,,84,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,14,
D169-87,Concession,,,Concession/SE Concession Pluton,Bill Davis email ,,,,,,,,,,,,,,,,478000,7284500,12,1478000,,65.68041941,-111.4787374,,,,,,,,,68.1,0.7,15.77,,4.44,,,0.06,1.25,3.3,4.3,1.94,0.15,,,,,,,,,58,,,357,659,9,14,174,,73,9.6,,8,,,,,,,66,,22,,,,,,,,,,,,,50.09,94.1,10.77,40.54,6.43,1.57,3.78,0.47,2.18,0.34,1.04,0.14,0.85,0.08,13.31,
D169A-88,Yamba,,,Yamba/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,460440,7212986,12,1460440,,65.03829971,-111.8401283,,,,,,,,,73.15,0.24,14.01,,2.11,,,0.03,0.5,1.32,2.99,5.54,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D169B-88,Concession,,,Concession/undivided,Bill Davis email ,,,,,,,,,,,,,,,,460440,7212986,12,1460440,,65.0371728,-111.840079,,,,,,,,,64.83,0.7,17.45,,4.03,,,0.05,1.88,4.11,4.66,2.1,0.2,,,,,,,,74.9,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,14.15,33.56,4.18,18.09,4.26,1.45,4.15,0.56,3.03,0.57,1.36,0.18,1.08,0.15,4.56,0.73
D170-88,Yamba,,,Yamba/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,465537,7211584,12,1465537,,65.02628984,-111.7315512,,,,,,,,,75.12,0.16,13.56,,1.41,,,0.01,0.36,1.28,3.35,4.68,0.06,,,,,,,,,239,,,86,605,,24,139,,12,18.5,,,,,,,,,14,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
D171-88,Olga,,,CVB/Yellowknife Supergroup,Bill Davis email ,,,,,,,,,,,,,,,,464000,7296000,12,1464000,,65.78232425,-111.7864917,,,,,,,,,76.43,0.08,13.78,,0.71,,,0.01,0.13,2.09,4.98,1.78,0.01,,,,,,,,,32,,,428,567,,3,70,,,1.1,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D172-87,Concession,,,Concession/SE Concession Pluton,Bill Davis email ,,,,,,,,,,,,,,,,477233,7282722,12,1477233,,65.66441476,-111.4951225,,,,,,,,,69.3,0.62,15.5,,3.82,,,0.05,1.08,2.53,4.14,2.82,0.14,,,,,,,,,69,,,313,599,5,19,155,,38,9.5,,,,,,,,,56,,22,,,,,,,,,,,,,23.89,51.32,6.33,25.27,5.32,1.09,4.67,0.65,3.51,0.68,1.54,0.2,1.29,0.2,4.41,
D172B-87,Concession,,,Concession undivided,Bill Davis email ,,,,,,,,,,,,,,,,477064,7282881,12,1477064,,65.66582925,-111.4988251,,,,,,,,,54.72,3.15,14.69,,12.45,,,0.14,3.72,6.19,3.34,1.26,0.33,,,,,,,,,27,,,445,252,23,30,204,,255,20.4,,,,,,,5,,133,,22,,,,,,,,,,,,,25.65,60.38,8.21,35.96,8.25,2.61,7.61,1.14,6.17,1.17,2.78,0.37,2.34,0.34,2.72,
D172C-87,Concession,,,Concession/SE Concession Pluton,Bill Davis email ,,,,,,,,,,,,,,,,476763,7283054,12,1476763,,65.66735975,-111.5054013,,,,,,,,,59.21,1.65,14.36,,11.61,,,0.14,1.82,5.19,3.59,1.58,0.85,,,,,,,,20.3,36,1.6,,461,427,13,45,182,,41,29.2,,,,,,,,,159,,26,,,,,7,,,,,,,,37.96,94.09,12.87,58.55,13.18,3.84,11.76,1.67,9.12,1.7,4.13,0.54,3.23,0.43,4.17,0.98
D173-87,Concession,,,Concession/SE Concession Pluton,Bill Davis email ,,,,,,,,,,,,,,,,475714,7283533,12,1475714,,65.67157973,-111.5283033,,,,,,,,,65.43,0.78,16.33,,5.67,,,0.06,1.6,3.51,4.14,2.2,0.28,,,,,,,,,61,,,423,706,8,16,227,,64,11.9,,6,,,,,,,83,,23,,,,,,,,,,,,,38.29,81.9,9.67,38.75,7.13,1.7,5.39,0.72,3.68,0.69,1.71,0.22,1.32,0.18,0.14,
D173-88,Olga,,,CVB/Yellowknife Supergroup,Bill Davis email ,,,,,,,,,,,,,,,,464000,7296000,12,1464000,,65.78232425,-111.7864917,,,,,,,,,73.01,0.2,15.64,,1.1,,,0.03,0.4,2.33,5.82,1.36,0.11,,,,,,,,,42,,,491,505,,3,89,,16,1.5,,,,,,,,,21,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D174-88,Olga,,,CVB/Yellowknife Supergroup,Bill Davis email ,,,,,,,,,,,,,,,,464000,7296000,12,1464000,,65.78232425,-111.7864917,,,,,,,,,73.43,0.32,14.12,,2.78,,,0.04,0.65,2.78,4.57,1.24,0.07,,,,,,,,,31,,,294,266,,6,208,,22,4.9,,,,,,,,,44,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D180-87,Contwoyto,,,Contwoyto Monzogranite,Bill Davis email ,,,,,,,,,,,,,,,,471594,7290901,12,1471594,,65.73848173,-111.6195384,,,,,,,,,71.61,0.36,15.15,,2.26,,,0.03,0.95,2.1,5.1,2.31,0.12,,,,,,,,,92,,,311,571,4,7,146,,35,5.5,,,,,,,,,42,,22,,,,,,,,,,,,,22.09,45.38,4.66,16.97,2.85,0.72,2.06,0.23,1.06,0.19,0.45,0.06,0.36,0.05,4.66,
D180-89,Concession,,,Concession/undivided,Bill Davis email ,,,,,,,,,,,,,,,,527200,7221700,12,1527200,,65.11659969,-110.4206759,,,,,,,,,61.45,0.74,16.22,,5.75,,,0.09,3.58,5.43,3.49,2.78,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D182-88,Contwoyto,,,Contwoyto Monzogranite,Bill Davis email ,,,,,,,,,,,,,,,,476600,7311100,12,1476600,,65.92009967,-111.5139681,,,,,,,,,74.38,0.08,14.69,,0.99,,,0.01,0.27,0.83,4.21,4.39,0.16,,,,,,,,,154,,,100,617,,7,72,,11,6.3,,,,,,,,,13,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
D182-89,Yamba,,,Yamba/Southern Diorite,Bill Davis email ,,,,,,,,,,,,,,,,523991,7223583,12,1523991,,65.13487137,-110.488665,,,,,,,,,73.9,0.26,14.42,,1.9,,,0.02,0.71,1.98,4.53,2.11,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.61,80.96,8.31,28.14,3.77,0.95,2.46,0.2,0.91,0.16,0.38,0.05,0.45,0.09,,
D184-88,Concession,,,Concession/Harp Tonalite,Bill Davis email ,,,,,,,,,,,,,,,,474990,7313409,12,1474990,,65.93955002,-111.5497397,,,,,,,,,66.43,0.61,14.84,,5.62,,,0.09,2.36,5.09,3.7,1.16,0.1,,,,,,,,,50,,,254,170,15,15,159,,100,7.4,,20,,,,19,4,,56,,21,,,,,,,,,,,,,20.9,39.04,4.82,19.48,3.59,1.13,3.01,0.49,2.59,0.55,1.38,0.2,1.25,0.2,3.42,
