Sample,suite,Location,Rock type,unit,Reference,Age,Age2se,Sm,Nd,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144 2se,eNd,TDM,,,Pb206_204,Pb207_204,Pb208_204,Mineral,Easting,Northing,UTM,Easting_for_R,"These Lat longs are from an online coversion tool, might not be exactly accurate",Latitude,Longitude,Latitude,,,Longitude,,,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3t,FeO,Fe2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,S,F,Cl,LOI,sum,Li,Rb,Cs,Be,Sr,Ba,Sc,Y,Zr,Hf,V,Nb,Ta,Cr,Mo,W,Co,Ni,Cu,Ag,Zn,Cd,Ga,In,Tl,Ge,Sn,Pb,As,Sb,Bi,Se,Te,Br,I,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,U
19,Contwoyto,Contwoyto Lake,Bt-m granite,,Davis and Hegner 1992,2585,,10.15,2.43,0.1434,0.511515,,-4.2,"3,220",,,15.698,15.518,34.406,Leach,469112,7260629,12,1469112,,65.46666667,-111.6666667,65,28,,111,40,,65 28,111 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Contwoyto Lake,,,Davis and Hegner 1992,2580,,12.74,2.8,0.1374,0.51141,,-4.3,"3,222",,,,,,,516718,7306955,12,1516718,,65.88333333,-110.6333333,65,53,,110,38,,65 53,110 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Contwoyto Lake,,,Davis and Hegner 1992,2590,,19.52,3.11,0.097,0.510682,,-5,"3,280",,,,,,,449872,7264612,12,1449872,,65.5,-112.0833333,65,30,,112,5,,65 30,112 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Contwoyto Lake,,,Davis and Hegner 1992,2590,,44.09,7.26,0.1048,0.510807,,-5.1,"3,292",,,,,,,469444,7217899,12,1469444,,65.08333333,-111.65,65,5,,111,39,,65 05,111 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Contwoyto Lake,,,Davis and Hegner 1992,2590,,35.13,6.72,0.1075,0.510842,,-5.3,"3,307",,,,,,,393822,7251243,12,1393822,,65.36666667,-113.2833333,65,22,,113,17,,65 22,113 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Contwoyto Lake,,,Davis and Hegner 1992,2610,,52.6,10.07,0.11,0.511285,,2.7,"2,728",,,,,,,493724,7214034,12,1493724,,65.05,-111.1333333,65,3,,111,8,,65 03,111 08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Contwoyto Lake,,,Davis and Hegner 1992,2610,,56.39,9.45,0.104,0.511165,,2.4,"2,752",,,,,,,548241,7238570,12,1548241,,65.26666667,-109.9666667,65,16,,109,58,,65 16,109 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Concession,Contwoyto Lake,Hb-Bt diorite,,Davis and Hegner 1992,2610,,56.7,11.06,0.1172,0.511382,,2.2,"2,767",,,13.935,14.776,33.696,Residue,466348,7288526,12,1466348,,65.71666667,-111.7333333,65,43,,111,44,,65 43,111 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Concession,Contwoyto Lake,Hb-Bt diorite,,Davis and Hegner 1992,2610,,56.7,11.06,0.1172,0.511382,,2.2,"2,767",,,16.323,15.258,35.992,Leach,466348,7288526,12,1466348,,65.71666667,-111.7333333,65,43,,111,44,,65 43,111 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Contwoyto Lake,,,Davis and Hegner 1992,2610,,32.16,5.41,0.1019,0.511118,,2.2,"2,768",,,,,,,469407,7288492,12,1469407,,65.71666667,-111.6666667,65,43,,111,40,,65 43,111 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Contwoyto Lake,,,Davis and Hegner 1992,2610,,34.78,7.97,0.1368,0.511713,,2.1,"2,776",,,,,,,476245,7282854,12,1476245,,65.66666667,-111.5166667,65,40,,111,31,,65 40,111 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,Contwoyto Lake,,,Davis and Hegner 1992,2610,,55.54,11.44,0.1264,0.511529,,2,"2,783",,,,,,,541160,7244036,12,1541160,,65.31666667,-110.1166667,65,19,,110,7,,65 19,110 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Contwoyto Lake,,,Davis and Hegner 1992,2616,,24.82,4.21,0.1026,0.511105,,1.8,"2,804",,,,,,,362593,7107481,13,2362593,,64.06666667,-107.8166667,64,4,,107,49,,64 04,107 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Contwoyto Lake,,,Davis and Hegner 1992,2622,,35.48,6.59,0.1123,0.51126,,1.6,"2,822",,,,,,,380608,7192254,13,2380608,,64.83333333,-107.5166667,64,50,,107,31,,64 50,107 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Contwoyto Lake,,,Davis and Hegner 1992,2610,,24.08,4.63,0.1162,0.511324,,1.5,"2,827",,,,,,,368183,7123973,13,2368183,,64.21666667,-107.7166667,64,13,,107,43,,64 13,107 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Contwoyto Lake,,,Davis and Hegner 1992,2610,,35.13,6.12,0.1053,0.511136,,1.4,"2,827",,,,,,,430544,7415541,13,2430544,,66.85,-106.5833333,66,51,,106,35,,66 51,106 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
